,timestamp,catalogue.csv
0,2023-08-24 07:23:19,0
1,2023-08-24 07:23:24,0
2,2023-08-24 07:23:29,0
3,2023-08-24 07:23:34,0
4,2023-08-24 07:23:39,0
5,2023-08-24 07:23:44,0
6,2023-08-24 07:23:49,0
7,2023-08-24 07:23:54,0
8,2023-08-24 07:23:59,0
9,2023-08-24 07:24:04,0
10,2023-08-24 07:24:09,0
11,2023-08-24 07:24:14,0
12,2023-08-24 07:24:19,0
13,2023-08-24 07:24:24,0
14,2023-08-24 07:24:29,0
15,2023-08-24 07:24:34,0
16,2023-08-24 07:24:39,0
17,2023-08-24 07:24:44,0
18,2023-08-24 07:24:49,0
19,2023-08-24 07:24:54,0
20,2023-08-24 07:24:59,0
21,2023-08-24 07:25:04,0
22,2023-08-24 07:25:09,0
23,2023-08-24 07:25:14,0
24,2023-08-24 07:25:19,0
25,2023-08-24 07:25:24,0
26,2023-08-24 07:25:29,0
27,2023-08-24 07:25:34,0
28,2023-08-24 07:25:39,0
29,2023-08-24 07:25:44,0
30,2023-08-24 07:25:49,0
31,2023-08-24 07:25:54,0
32,2023-08-24 07:25:59,0
33,2023-08-24 07:26:04,0
34,2023-08-24 07:26:09,0
35,2023-08-24 07:26:14,0
36,2023-08-24 07:26:19,0
37,2023-08-24 07:26:24,0
38,2023-08-24 07:26:29,0
39,2023-08-24 07:26:34,0
40,2023-08-24 07:26:39,0
41,2023-08-24 07:26:44,0
42,2023-08-24 07:26:49,0
43,2023-08-24 07:26:54,0
44,2023-08-24 07:26:59,0
45,2023-08-24 07:27:04,0
46,2023-08-24 07:27:09,0
47,2023-08-24 07:27:14,0
48,2023-08-24 07:27:19,0
49,2023-08-24 07:27:24,0
50,2023-08-24 07:27:29,0
51,2023-08-24 07:27:34,0
52,2023-08-24 07:27:39,0
53,2023-08-24 07:27:44,0
54,2023-08-24 07:27:49,0
55,2023-08-24 07:27:54,0
56,2023-08-24 07:27:59,0
57,2023-08-24 07:28:04,0
58,2023-08-24 07:28:09,0
59,2023-08-24 07:28:14,0
60,2023-08-24 07:28:19,0
61,2023-08-24 07:28:24,0
62,2023-08-24 07:28:29,0
63,2023-08-24 07:28:34,0
64,2023-08-24 07:28:39,0
65,2023-08-24 07:28:44,0
66,2023-08-24 07:28:49,0
67,2023-08-24 07:28:54,0
68,2023-08-24 07:28:59,0
69,2023-08-24 07:29:04,0
70,2023-08-24 07:29:09,0
71,2023-08-24 07:29:14,0
72,2023-08-24 07:29:19,0
73,2023-08-24 07:29:24,0
74,2023-08-24 07:29:29,1
75,2023-08-24 07:29:34,0
76,2023-08-24 07:29:39,0
77,2023-08-24 07:29:44,0
78,2023-08-24 07:29:49,0
79,2023-08-24 07:29:54,0
80,2023-08-24 07:29:59,0
81,2023-08-24 07:30:04,0
82,2023-08-24 07:30:09,0
83,2023-08-24 07:30:14,0
84,2023-08-24 07:30:19,0
85,2023-08-24 07:30:24,0
86,2023-08-24 07:30:29,0
87,2023-08-24 07:30:34,0
88,2023-08-24 07:30:39,0
89,2023-08-24 07:30:44,0
90,2023-08-24 07:30:49,0
91,2023-08-24 07:30:54,0
92,2023-08-24 07:30:59,0
93,2023-08-24 07:31:04,0
94,2023-08-24 07:31:09,0
95,2023-08-24 07:31:14,0
96,2023-08-24 07:31:19,0
97,2023-08-24 07:31:24,0
98,2023-08-24 07:31:29,0
99,2023-08-24 07:31:34,0
100,2023-08-24 07:31:39,0
101,2023-08-24 07:31:44,0
102,2023-08-24 07:31:49,0
103,2023-08-24 07:31:54,0
104,2023-08-24 07:31:59,0
105,2023-08-24 07:32:04,0
106,2023-08-24 07:32:09,0
107,2023-08-24 07:32:14,0
108,2023-08-24 07:32:19,0
109,2023-08-24 07:32:24,0
110,2023-08-24 07:32:29,0
111,2023-08-24 07:32:34,0
112,2023-08-24 07:32:39,0
113,2023-08-24 07:32:44,0
114,2023-08-24 07:32:49,0
115,2023-08-24 07:32:54,0
116,2023-08-24 07:32:59,0
117,2023-08-24 07:33:04,0
118,2023-08-24 07:33:09,0
119,2023-08-24 07:33:14,0
120,2023-08-24 07:33:19,0
