@timestamp,process.args,kubernetes.labels.app,kubernetes.pod.name
2023-08-24 15:11:00,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b41b9606077d9ca55fe96c8281571a6fecd486bebc62cb9d018f0f1d0754b7f8/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b41b9606077d9ca55fe96c8281571a6fecd486bebc62cb9d018f0f1d0754b7f8, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b41b9606077d9ca55fe96c8281571a6fecd486bebc62cb9d018f0f1d0754b7f8/init.pid, b41b9606077d9ca55fe96c8281571a6fecd486bebc62cb9d018f0f1d0754b7f8",front,front-end-7f5c844b4c-c8gzm
2023-08-24 15:10:14,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 2f30a10c6a1c2c39ea87593b0a266d00816a15ee26f934b59679821dbca59422, -address, /var/run/desktop-containerd/containerd.sock",user,user-db-b8dfb847c-fpzdr
2023-08-24 15:10:14,"runc, init",user,user-db-b8dfb847c-fpzdr
2023-08-24 15:10:14,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 12f15471f3244dec7ce14f73b61287749cc6421ffbd0c83548dcbdef49a38d61, -address, /var/run/desktop-containerd/containerd.sock",user,user-db-b8dfb847c-fpzdr
2023-08-24 15:10:14,"runc, init",user,user-db-b8dfb847c-fpzdr
2023-08-24 15:10:11,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, a3cda5a3bffa737a3df44057c21bae6cf112426c8c7a3296f2113fe0974525e5, -address, /var/run/desktop-containerd/containerd.sock",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:11,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 2723687713a69944c28198a2d4d86998e56a7ed68b2fd63b7da3919e54fbca94, -address, /var/run/desktop-containerd/containerd.sock",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:11,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, d84b0751480f10f5a07567d7157a5819cf8c2c75d2d0bb07a9d13735ee17e375, -address, /var/run/desktop-containerd/containerd.sock",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:11,"/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 41f04b511d7bee76d565113edeb4f8676ad0e6dcd42227d8d736b9c4a61fe4d1, -address, /var/run/desktop-containerd/containerd.sock",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:11,"runc, init",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:11,"runc, init",carts,carts-7bbf9dc945-gw8gn
2023-08-24 15:10:08,"runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/2f30a10c6a1c2c39ea87593b0a266d00816a15ee26f934b59679821dbca59422/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/2f30a10c6a1c2c39ea87593b0a266d00816a15ee26f934b59679821dbca59422, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/2f30a10c6a1c2c39ea87593b0a266d00816a15ee26f934b59679821dbca59422/init.pid, 2f30a10c6a1c2c39ea87593b0a266d00816a15ee26f934b59679821dbca59422",carts,carts-7bbf9dc945-gw8gn
