,timestamp,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,loadgenerator_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90
0,2023-08-23 08:52:49,8.5625,8.0,20.928571428571445,190.0,14.000000000000002,7.645161290322582,,180.83333333333317,,8.500000000000002,4.714102564102564,4.864406779661017,21.939999999999998,,
1,2023-08-23 08:52:54,8.5625,18.999999999999996,22.974999999999994,400.0,14.000000000000002,7.645161290322582,,194.77272727272714,,8.500000000000002,4.714102564102564,4.864406779661017,21.939999999999998,,
2,2023-08-23 08:52:59,9.545454545454545,18.999999999999996,22.974999999999994,400.0,14.000000000000002,7.645161290322582,,194.77272727272714,,4.9714285714285715,4.671428571428571,4.823728813559322,22.586956521739133,,
3,2023-08-23 08:53:04,9.545454545454545,18.999999999999996,22.974999999999994,400.0,12.999999999999998,8.234374999999993,,194.77272727272714,,4.9714285714285715,4.671428571428572,4.823728813559322,22.586956521739133,,
4,2023-08-23 08:53:09,9.545454545454545,17.500000000000007,21.4375,375.0000000000001,12.999999999999998,8.234374999999993,,180.25000000000017,,4.9714285714285715,4.671428571428572,4.823728813559322,22.586956521739133,,
5,2023-08-23 08:53:14,8.72222222222222,17.500000000000007,21.4375,375.0000000000001,12.999999999999998,8.234374999999993,,180.25000000000017,,4.9714285714285715,4.604747774480713,4.96774193548387,21.66666666666667,,
6,2023-08-23 08:53:19,8.72222222222222,17.500000000000007,21.4375,375.0000000000001,9.750000000000002,4.989508196721312,,180.25000000000017,,4.9714285714285715,4.604747774480713,4.96774193548387,21.66666666666667,,4.6
7,2023-08-23 08:53:24,8.72222222222222,17.5,16.857142857142872,375.0,9.750000000000002,4.989508196721312,,171.08695652173913,4.6,4.9714285714285715,4.604747774480713,4.96774193548387,21.66666666666667,,4.6
8,2023-08-23 08:53:29,10.250000000000016,17.5,16.857142857142872,375.0,9.750000000000002,4.989508196721312,,171.08695652173913,4.6,4.482352941176471,4.611834319526627,4.980952380952381,21.727272727272727,,4.6
9,2023-08-23 08:53:34,10.250000000000016,17.5,16.857142857142872,375.0,4.6,4.880239520958083,,171.08695652173913,4.6,4.482352941176471,4.611834319526627,4.980952380952381,21.727272727272727,4.6,4.8133333333333335
10,2023-08-23 08:53:39,10.250000000000016,4.6,13.576923076923055,95.0,4.6,4.880239520958083,4.6,187.93103448275866,4.6,4.482352941176471,4.611834319526627,4.980952380952381,21.727272727272727,4.6,4.8133333333333335
11,2023-08-23 08:53:44,8.944444444444448,4.6,13.576923076923055,95.0,4.6,4.880239520958083,4.6,187.93103448275866,4.6,4.066666666666666,4.6332439678284185,4.854545454545455,21.93181818181818,4.6,4.8133333333333335
12,2023-08-23 08:53:49,8.944444444444448,4.6,13.576923076923055,95.0,4.6,4.8342168674698796,4.6,187.93103448275866,4.6,4.066666666666666,4.6332439678284185,4.854545454545455,21.93181818181818,4.6,4.739130434782608
13,2023-08-23 08:53:54,8.944444444444448,4.6,14.61538461538461,95.0,4.6,4.8342168674698796,4.6,192.14285714285717,4.6,4.066666666666666,4.6332439678284185,4.854545454545455,21.93181818181818,4.6,4.739130434782608
14,2023-08-23 08:53:59,9.055555555555554,4.6,14.61538461538461,95.0,4.6,4.8342168674698796,4.6,192.14285714285717,4.6,6.249999999999998,4.669306930693068,4.725373134328359,20.184210526315795,4.6,4.739130434782608
15,2023-08-23 08:54:04,9.055555555555554,4.6,14.61538461538461,95.0,7.000000000000002,4.823923444976076,4.6,192.14285714285717,4.6,6.249999999999998,4.669306930693068,4.725373134328359,20.184210526315795,4.6,4.895652173913043
16,2023-08-23 08:54:09,9.055555555555554,16.0,14.153846153846157,227.5,7.000000000000002,4.823923444976076,4.6,183.33333333333337,9.0,6.249999999999994,4.66930693069307,4.725373134328358,20.184210526315795,4.6,4.895652173913043
17,2023-08-23 08:54:14,6.999999999999998,16.0,14.153846153846157,227.5,7.000000000000002,4.823923444976076,4.6,183.33333333333337,9.0,7.999999999999998,4.612307692307693,4.52,21.25,4.6,4.895652173913043
18,2023-08-23 08:54:19,6.999999999999998,16.0,14.153846153846157,227.5,8.333333333333336,4.768374164810691,4.6,183.33333333333337,9.0,7.999999999999998,4.612307692307693,4.52,21.25,4.6,4.724137931034482
19,2023-08-23 08:54:24,6.999999999999998,19.0,15.199999999999987,235.0,8.333333333333336,4.768374164810691,4.6,183.65384615384616,9.0,7.999999999999998,4.612307692307693,4.52,21.25,4.6,4.724137931034482
20,2023-08-23 08:54:29,6.166666666666674,19.0,15.199999999999987,235.0,8.333333333333336,4.768374164810691,4.6,183.65384615384616,9.0,5.75,4.692950391644909,4.547540983606558,21.70000000000001,4.6,4.724137931034482
21,2023-08-23 08:54:34,6.166666666666674,19.0,15.199999999999987,235.0,8.0,4.835514018691589,4.6,183.65384615384616,9.0,5.75,4.692950391644909,4.547540983606558,21.70000000000001,4.6,4.733333333333334
22,2023-08-23 08:54:39,6.166666666666674,20.5,18.800000000000004,235.0,8.0,4.835514018691589,4.6,195.49999999999997,9.0,5.75,4.692950391644909,4.547540983606558,21.70000000000001,4.6,4.733333333333334
