,source,destination
0,front-end,carts
1,unknown,carts
2,front-end,catalogue
3,unknown,catalogue
4,unknown,front-end
5,unknown,orders
6,unknown,payment
7,unknown,queue-master
8,unknown,shipping
9,unknown,user
10,carts,docker-desktop
11,carts,docker-desktop
12,catalogue,docker-desktop
13,catalogue,docker-desktop
14,front,docker-desktop
15,orders,docker-desktop
16,orders,docker-desktop
17,payment,docker-desktop
18,queue,docker-desktop
19,rabbitmq,docker-desktop
20,session,docker-desktop
21,shipping,docker-desktop
22,user,docker-desktop
23,user,docker-desktop
