,timestamp,productpage-v1_details-v1&p90,istio-ingressgateway_productpage-v1&p90,reviews-v2_ratings-v1&p90,reviews-v3_ratings-v1&p90,productpage-v1_reviews-v1&p90,productpage-v1_reviews-v2&p90,productpage-v1_reviews-v3&p90
0,2023-06-27 07:55:00,35.64814814814815,88.125,4.571428571428572,4.631372549019608,9.000000000000004,23.458333333333336,22.68181818181818
1,2023-06-27 07:55:05,35.64814814814815,88.125,4.571428571428572,4.631372549019608,7.454545454545455,23.458333333333336,22.68181818181818
2,2023-06-27 07:55:10,38.36065573770491,88.125,4.571428571428572,4.631372549019608,7.454545454545455,22.468749999999996,21.01724137931035
3,2023-06-27 07:55:15,38.36065573770491,89.62765957446808,4.632786885245903,4.493750000000001,7.454545454545455,22.468749999999996,21.01724137931035
4,2023-06-27 07:55:20,38.36065573770491,89.62765957446808,4.632786885245903,4.493750000000001,5.550000000000006,22.468749999999996,21.01724137931035
5,2023-06-27 07:55:25,41.4010989010989,89.62765957446808,4.632786885245903,4.493750000000001,5.550000000000006,17.894736842105264,19.119999999999997
6,2023-06-27 07:55:30,41.4010989010989,87.15,4.389830508474577,4.423728813559323,5.550000000000006,17.894736842105264,19.119999999999997
7,2023-06-27 07:55:35,41.4010989010989,87.15,4.389830508474577,4.423728813559323,5.666666666666668,17.894736842105264,19.119999999999997
8,2023-06-27 07:55:40,39.75694444444444,87.15,4.389830508474577,4.423728813559323,5.666666666666668,21.83333333333333,16.300000000000004
9,2023-06-27 07:55:45,39.75694444444444,91.12359550561798,4.661538461538463,4.493877551020407,5.666666666666668,21.83333333333333,16.300000000000004
10,2023-06-27 07:55:50,39.75694444444444,91.12359550561798,4.661538461538463,4.493877551020407,9.7,21.83333333333333,16.300000000000004
11,2023-06-27 07:55:55,33.15789473684211,91.12359550561798,4.661538461538463,4.493877551020407,9.7,46.1111111111111,40.3125
12,2023-06-27 07:56:00,33.15789473684211,183.27586206896552,9.42857142857143,4.981818181818182,9.7,46.1111111111111,40.3125
13,2023-06-27 07:56:05,33.15789473684211,183.27586206896552,9.42857142857143,4.981818181818182,6.600000000000001,46.1111111111111,40.3125
14,2023-06-27 07:56:10,39.31818181818183,183.27586206896552,9.42857142857143,4.981818181818182,6.600000000000001,15.2,23.36956521739131
15,2023-06-27 07:56:15,39.31818181818183,85.95959595959597,4.514666666666666,4.464285714285715,6.600000000000001,15.2,23.36956521739131
16,2023-06-27 07:56:20,39.31818181818183,85.95959595959597,4.514666666666666,4.464285714285715,4.859340659340659,15.2,23.36956521739131
17,2023-06-27 07:56:25,40.85526315789473,85.95959595959597,4.514666666666666,4.464285714285715,4.859340659340659,13.818181818181813,16.923076923076916
18,2023-06-27 07:56:30,40.85526315789473,88.44086021505377,4.5261538461538455,4.676190476190476,4.859340659340659,13.818181818181813,16.923076923076916
19,2023-06-27 07:56:35,40.85526315789473,88.44086021505377,4.5261538461538455,4.676190476190476,5.714285714285713,13.818181818181813,16.923076923076916
20,2023-06-27 07:56:40,37.40384615384615,88.44086021505377,4.5261538461538455,4.676190476190476,5.714285714285713,21.250000000000004,18.863636363636363
21,2023-06-27 07:56:45,37.40384615384615,98.33333333333334,4.726666666666667,4.873170731707317,5.714285714285713,21.250000000000004,18.863636363636363
22,2023-06-27 07:56:50,37.40384615384615,98.33333333333334,4.726666666666667,4.873170731707317,10.0,21.250000000000004,18.863636363636363
23,2023-06-27 07:56:55,39.583333333333336,98.33333333333334,4.726666666666667,4.873170731707317,10.0,90.0,167.50000000000003
24,2023-06-27 07:57:00,39.583333333333336,581.2499999999999,21.50000000000002,24.099999999999998,10.0,90.0,167.50000000000003
25,2023-06-27 07:57:05,39.583333333333336,581.2499999999999,21.50000000000002,24.099999999999998,21.500000000000004,90.0,167.50000000000003
26,2023-06-27 07:57:10,36.25000000000002,581.2499999999999,21.50000000000002,24.099999999999998,21.500000000000004,24.464285714285715,35.0
27,2023-06-27 07:57:15,36.25000000000002,89.8453608247423,4.800000000000001,4.692307692307692,21.500000000000004,24.464285714285715,35.0
28,2023-06-27 07:57:20,36.25000000000002,89.8453608247423,4.800000000000001,4.692307692307692,4.952941176470588,24.464285714285715,35.0
29,2023-06-27 07:57:25,39.46153846153847,89.8453608247423,4.984905660377359,4.854545454545455,4.952941176470588,17.96153846153846,18.714285714285715
30,2023-06-27 07:57:30,39.46153846153847,95.61728395061729,4.984905660377359,4.854545454545455,4.952941176470588,17.96153846153846,18.714285714285715
31,2023-06-27 07:57:35,39.46153846153847,95.61728395061729,4.984905660377359,4.854545454545455,7.071428571428571,17.96153846153846,18.714285714285715
32,2023-06-27 07:57:40,35.44117647058824,95.61728395061729,4.593103448275862,4.529824561403509,7.071428571428571,24.07692307692308,23.320000000000007
33,2023-06-27 07:57:45,35.44117647058824,90.75581395348837,4.593103448275862,4.529824561403509,7.071428571428571,24.07692307692308,23.320000000000007
34,2023-06-27 07:57:50,35.44117647058824,90.75581395348837,4.593103448275862,4.529824561403509,9.350000000000005,24.07692307692308,23.320000000000007
35,2023-06-27 07:57:55,39.090909090909086,90.75581395348837,16.25,15.357142857142858,9.350000000000005,23.615384615384627,20.96153846153846
36,2023-06-27 07:58:00,39.090909090909086,325.0000000000002,16.25,15.357142857142858,9.350000000000005,23.615384615384627,20.96153846153846
37,2023-06-27 07:58:05,39.090909090909086,325.0000000000002,16.25,15.357142857142858,31.25,23.615384615384627,20.96153846153846
38,2023-06-27 07:58:10,30.769230769230774,325.0000000000002,4.751724137931035,4.926666666666668,31.25,47.0,59.16666666666666
