,timestamp,rabbitmq.csv
0,2023-08-24 07:55:51,0
1,2023-08-24 07:55:56,0
2,2023-08-24 07:56:01,0
3,2023-08-24 07:56:06,0
4,2023-08-24 07:56:11,0
5,2023-08-24 07:56:16,0
6,2023-08-24 07:56:21,0
7,2023-08-24 07:56:26,0
8,2023-08-24 07:56:31,0
9,2023-08-24 07:56:36,0
10,2023-08-24 07:56:41,0
11,2023-08-24 07:56:46,0
12,2023-08-24 07:56:51,0
13,2023-08-24 07:56:56,0
14,2023-08-24 07:57:01,0
15,2023-08-24 07:57:06,0
16,2023-08-24 07:57:11,0
17,2023-08-24 07:57:16,0
18,2023-08-24 07:57:21,0
19,2023-08-24 07:57:26,0
20,2023-08-24 07:57:31,0
21,2023-08-24 07:57:36,0
22,2023-08-24 07:57:41,0
23,2023-08-24 07:57:46,0
24,2023-08-24 07:57:51,0
25,2023-08-24 07:57:56,0
26,2023-08-24 07:58:01,0
27,2023-08-24 07:58:06,0
28,2023-08-24 07:58:11,0
29,2023-08-24 07:58:16,0
30,2023-08-24 07:58:21,0
31,2023-08-24 07:58:26,0
32,2023-08-24 07:58:31,0
33,2023-08-24 07:58:36,0
34,2023-08-24 07:58:41,0
35,2023-08-24 07:58:46,0
36,2023-08-24 07:58:51,0
37,2023-08-24 07:58:56,0
38,2023-08-24 07:59:01,0
39,2023-08-24 07:59:06,0
40,2023-08-24 07:59:11,0
41,2023-08-24 07:59:16,0
42,2023-08-24 07:59:21,0
43,2023-08-24 07:59:26,0
44,2023-08-24 07:59:31,0
45,2023-08-24 07:59:36,0
46,2023-08-24 07:59:41,0
47,2023-08-24 07:59:46,0
48,2023-08-24 07:59:51,0
49,2023-08-24 07:59:56,0
50,2023-08-24 08:00:01,0
51,2023-08-24 08:00:06,0
52,2023-08-24 08:00:11,0
53,2023-08-24 08:00:16,0
54,2023-08-24 08:00:21,0
55,2023-08-24 08:00:26,0
56,2023-08-24 08:00:31,0
57,2023-08-24 08:00:36,0
58,2023-08-24 08:00:41,0
59,2023-08-24 08:00:46,0
60,2023-08-24 08:00:51,0
61,2023-08-24 08:00:56,0
62,2023-08-24 08:01:01,0
63,2023-08-24 08:01:06,0
64,2023-08-24 08:01:11,0
65,2023-08-24 08:01:16,0
66,2023-08-24 08:01:21,0
67,2023-08-24 08:01:26,0
68,2023-08-24 08:01:31,0
69,2023-08-24 08:01:36,0
70,2023-08-24 08:01:41,0
71,2023-08-24 08:01:46,0
72,2023-08-24 08:01:51,0
73,2023-08-24 08:01:56,0
74,2023-08-24 08:02:01,0
75,2023-08-24 08:02:06,0
76,2023-08-24 08:02:11,0
77,2023-08-24 08:02:16,0
78,2023-08-24 08:02:21,0
79,2023-08-24 08:02:26,0
80,2023-08-24 08:02:31,0
81,2023-08-24 08:02:36,0
82,2023-08-24 08:02:41,0
83,2023-08-24 08:02:46,0
84,2023-08-24 08:02:51,0
85,2023-08-24 08:02:56,0
86,2023-08-24 08:03:01,0
87,2023-08-24 08:03:06,0
88,2023-08-24 08:03:11,0
89,2023-08-24 08:03:16,0
90,2023-08-24 08:03:21,0
91,2023-08-24 08:03:26,0
92,2023-08-24 08:03:31,0
93,2023-08-24 08:03:36,0
94,2023-08-24 08:03:41,0
95,2023-08-24 08:03:46,0
96,2023-08-24 08:03:51,0
97,2023-08-24 08:03:56,0
98,2023-08-24 08:04:01,0
99,2023-08-24 08:04:06,0
100,2023-08-24 08:04:11,0
101,2023-08-24 08:04:16,0
102,2023-08-24 08:04:21,0
103,2023-08-24 08:04:26,0
104,2023-08-24 08:04:31,0
105,2023-08-24 08:04:36,0
106,2023-08-24 08:04:41,0
107,2023-08-24 08:04:46,0
108,2023-08-24 08:04:51,0
109,2023-08-24 08:04:56,0
110,2023-08-24 08:05:01,0
111,2023-08-24 08:05:06,0
112,2023-08-24 08:05:11,0
113,2023-08-24 08:05:16,0
114,2023-08-24 08:05:21,0
115,2023-08-24 08:05:26,0
116,2023-08-24 08:05:31,0
117,2023-08-24 08:05:36,0
118,2023-08-24 08:05:41,0
119,2023-08-24 08:05:46,0
120,2023-08-24 08:05:51,0
