,timestamp,adservice-76b448fddf-qfsdp_cpu,adservice-76b448fddf-qfsdp_memory,cartservice-6969c94d94-l66mx_cpu,cartservice-6969c94d94-l66mx_memory,checkoutservice-6d6f4d7cc7-jkzgt_cpu,checkoutservice-6d6f4d7cc7-jkzgt_memory,currencyservice-ccbc788bc-6rlj2_cpu,currencyservice-ccbc788bc-6rlj2_memory,currencyservice-ccbc788bc-9ps4z_cpu,currencyservice-ccbc788bc-9ps4z_memory,currencyservice-ccbc788bc-dzj7f_cpu,currencyservice-ccbc788bc-dzj7f_memory,currencyservice-ccbc788bc-nxbb7_cpu,currencyservice-ccbc788bc-nxbb7_memory,currencyservice-ccbc788bc-t9dms_cpu,currencyservice-ccbc788bc-t9dms_memory,emailservice-9f8578d69-r6rx8_cpu,emailservice-9f8578d69-r6rx8_memory,frontend-846c85c54c-9rg78_cpu,frontend-846c85c54c-9rg78_memory,loadgenerator-7f8f5d8fb6-5mm4r_cpu,loadgenerator-7f8f5d8fb6-5mm4r_memory,paymentservice-78549bfd9c-h8tg5_cpu,paymentservice-78549bfd9c-h8tg5_memory,productcatalogservice-6b5dd45849-52szd_cpu,productcatalogservice-6b5dd45849-52szd_memory,recommendationservice-cc746f6c7-9r7zm_cpu,recommendationservice-cc746f6c7-9r7zm_memory,redis-cart-6997b66668-xkfsv_cpu,redis-cart-6997b66668-xkfsv_memory,shippingservice-7ccdfd8767-zlxq5_cpu,shippingservice-7ccdfd8767-zlxq5_memory
0,2023-08-22 05:58:32,13.382977510475197,129.011712,17.549451773934695,84.148224,8.122774367378714,71.51616,14.731667985748821,0.0,17.41198127072298,70.295552,27.389626123463252,91.635712,13.269777171366243,0.0,12.473138828889628,0.0,6.360049114021683,135.122944,70.03416815742396,72.429568,16.824609078139332,97.206272,4.987428571428597,72.462336,33.88347012581908,62.181376,16.96037016106245,88.436736,7.019766997709181,50.122752,6.74771051138667,64.761856
1,2023-08-22 05:58:37,10.90372516425337,129.011712,17.549451773934695,84.148224,6.404299915280154,71.51616,17.66439373542011,0.0,20.627252768806777,70.295552,27.484621155288316,92.188672,16.364913310980047,0.0,14.886064917313519,0.0,6.3643694605993675,134.713344,70.27045001682076,72.925184,19.353469685902223,97.214464,5.121144076122052,72.462336,35.439586341633024,61.493248,16.96037016106245,88.436736,6.063069534767759,50.09408,6.74771051138667,64.761856
2,2023-08-22 05:58:42,9.788477038380439,129.011712,17.380794354245875,83.898368,5.453470248602391,71.51616,20.5971194850914,70.38976,23.84252426689057,70.295552,27.484621155288316,92.188672,19.460049450593843,70.774784,17.298991005737413,70.463488,6.3643694605993675,134.713344,70.27045001682076,72.925184,17.465116097525236,97.214464,5.018524385471226,72.6016,35.439586341633024,61.493248,16.96037016106245,88.436736,7.125710978004245,50.09408,6.63295880149809,64.765952
3,2023-08-22 05:58:47,13.087382671063903,129.298432,17.380794354245875,83.898368,7.82231051867038,70.934528,23.529845234762693,70.38976,19.911533333333324,72.15104,27.484621155288316,92.188672,15.323400000000003,70.774784,14.298999999999987,70.463488,6.2131465982395815,134.713344,70.27045001682076,72.925184,19.62922971942486,97.13664,5.1413667188315015,72.6016,28.91065531421124,61.677568,17.56874466268147,89.501696,6.166867391347353,50.09408,6.63295880149809,64.765952
4,2023-08-22 05:58:52,13.087382671063903,129.298432,17.130466321243468,83.898368,7.82231051867038,70.934528,18.438633333333332,70.38976,19.911533333333324,72.15104,19.447998349007584,91.803648,15.323400000000003,70.774784,14.298999999999987,70.463488,6.155671438070851,134.709248,70.08400028583685,72.822784,19.62922971942486,97.13664,5.141366718831501,72.6016,35.91150308680951,61.677568,17.56874466268147,89.501696,6.985114171169512,50.266112,6.3582134797399315,64.786432
5,2023-08-22 05:58:57,13.087382671063903,129.298432,16.56797460660493,83.898368,7.82231051867038,70.934528,18.438633333333332,71.729152,25.006452549196904,72.15104,21.633911714500044,91.803648,15.323400000000003,71.643136,14.298999999999987,63.11936,6.079460714109359,134.709248,67.812594652642,72.822784,19.62922971942486,97.13664,4.948040092051933,72.8064,35.91150308680951,61.677568,16.785701866233907,89.501696,6.935386960810803,50.266112,5.142971364913507,64.786432
6,2023-08-22 05:59:02,13.166015014075692,129.298432,17.472238838436088,83.92704,7.441786097754535,70.94272,21.303319845612247,71.729152,21.791181051113114,72.15104,22.34957975036228,91.803648,15.323400000000003,71.643136,16.303417701653714,63.11936,6.079460714109359,134.709248,69.51835038363183,73.342976,16.949979908151995,97.13664,4.948040092051933,72.8064,29.692927556452247,61.677568,13.829180244194577,89.501696,6.935386960810803,50.266112,5.975239195399369,64.786432
7,2023-08-22 05:59:07,13.166015014075692,129.298432,13.74524771471196,83.92704,7.441786097754535,70.94272,18.37059409594096,71.729152,18.575909553029316,72.15104,27.56314707746965,92.250112,17.52930352670276,71.643136,13.890491613229823,63.11936,5.218676626554965,134.709248,69.51835038363183,73.342976,20.5478431872394,97.148928,4.697216452014929,72.8064,37.6428961499971,61.939712,12.43037175534175,89.501696,7.685671800318832,50.13504,5.123950186808152,64.786432
8,2023-08-22 05:59:12,9.54053334636638,129.298432,17.15535008076656,83.92704,7.441786097754535,70.94272,15.437868346269669,71.729152,15.360638054945522,72.15104,27.56314707746965,92.250112,14.434167387088957,71.643136,11.477565524805929,63.11936,7.117781986531824,134.71744,69.51835038363183,73.342976,22.326241303161847,97.148928,4.697216452014929,72.8064,37.6428961499971,61.939712,19.727663388179046,90.906624,7.685671800318831,50.13504,5.9353773669955965,64.790528
9,2023-08-22 05:59:17,13.33023397470352,129.339392,14.239321797038038,83.92704,8.36147738152317,70.946816,,71.729152,,72.15104,29.48798146539473,92.250112,,71.643136,,63.11936,7.117781986531824,134.71744,77.3942604657454,72.8064,22.326241303161847,97.148928,3.834357361515003,72.8064,37.6428961499971,61.939712,19.727663388179046,90.906624,7.685671800318831,50.13504,6.966609779624514,64.790528
