,timestamp,frontend_adservice&p50,checkoutservice_cartservice&p50,frontend_cartservice&p50,frontend_checkoutservice&p50,checkoutservice_currencyservice&p50,frontend_currencyservice&p50,checkoutservice_emailservice&p50,loadgenerator_frontend&p50,checkoutservice_paymentservice&p50,checkoutservice_productcatalogservice&p50,frontend_productcatalogservice&p50,recommendationservice_productcatalogservice&p50,frontend_recommendationservice&p50,checkoutservice_shippingservice&p50,frontend_shippingservice&p50,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,loadgenerator_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90,frontend_adservice&p99,checkoutservice_cartservice&p99,frontend_cartservice&p99,frontend_checkoutservice&p99,checkoutservice_currencyservice&p99,frontend_currencyservice&p99,checkoutservice_emailservice&p99,loadgenerator_frontend&p99,checkoutservice_paymentservice&p99,checkoutservice_productcatalogservice&p99,frontend_productcatalogservice&p99,recommendationservice_productcatalogservice&p99,frontend_recommendationservice&p99,checkoutservice_shippingservice&p99,frontend_shippingservice&p99
0,2023-08-22 05:58:32,3.6315789473684212,6.666666666666666,3.7272727272727275,75.0,,3.142857142857143,3.0,77.27272727272728,3.0,0.375,1.487394957983193,2.0434782608695654,9.5,,2.6666666666666665,7.916666666666668,9.333333333333334,9.166666666666668,95.0,,4.857142857142858,4.6,192.72727272727278,4.6,3.8000000000000007,4.512605042016807,4.408695652173913,22.625000000000007,,4.533333333333333,9.791666666666668,9.933333333333334,38.750000000000085,99.5,,9.249999999999996,4.960000000000001,244.27272727272728,4.96,4.88,9.791666666666655,4.940869565217391,42.750000000000014,,4.953333333333333
1,2023-08-22 05:58:37,3.6315789473684212,5.0,4.166666666666667,75.0,,3.142857142857143,3.0,77.27272727272728,3.0,3.6666666666666665,2.3181818181818183,2.0999999999999996,9.5,,2.6666666666666665,7.916666666666668,9.0,16.00000000000002,95.0,,4.857142857142858,4.6,192.72727272727278,4.6,8.0,4.754545454545455,4.58,22.625000000000007,,4.533333333333333,9.791666666666668,9.9,45.25,99.5,,9.249999999999996,4.96,244.27272727272728,4.96,9.8,9.540909090909096,8.450000000000006,42.750000000000014,,4.953333333333333
2,2023-08-22 05:58:42,3.6315789473684212,5.0,4.166666666666667,50.0,3.25,3.139130434782609,3.0,77.27272727272728,3.0,3.6666666666666665,2.3181818181818183,2.0999999999999996,9.5,3.0,3.1818181818181817,7.916666666666668,9.0,16.00000000000002,220.00000000000003,5.500000000000005,4.850434782608696,4.6,192.72727272727278,4.6,8.0,4.754545454545455,4.58,22.625000000000007,4.6,4.927272727272727,9.791666666666668,9.9,45.25,247.0,9.550000000000002,18.85,4.96,244.27272727272728,4.96,9.8,9.540909090909096,8.450000000000006,42.750000000000014,4.96,9.4
3,2023-08-22 05:58:47,3.3157894736842106,5.0,4.166666666666667,50.0,3.25,3.139130434782609,3.0,72.36842105263158,3.0,3.6666666666666665,2.3181818181818183,2.0999999999999996,7.5,3.0,3.1818181818181817,6.333333333333336,9.0,16.00000000000002,220.00000000000003,5.500000000000005,4.850434782608696,4.6,210.62500000000014,4.6,8.0,4.754545454545455,4.58,14.0,4.6,4.927272727272727,9.633333333333333,9.9,45.25,247.0,9.550000000000002,18.85,4.96,448.7499999999999,4.959999999999999,9.8,9.540909090909096,8.450000000000006,42.00000000000006,4.96,9.4
4,2023-08-22 05:58:52,3.3157894736842106,3.6666666666666665,4.5,50.0,3.25,3.139130434782609,3.0,72.36842105263158,3.0,0.5,1.9059829059829063,2.3333333333333335,7.5,3.0,3.1818181818181817,6.333333333333336,8.0,17.5,220.00000000000003,5.500000000000005,4.850434782608696,4.6,210.62500000000014,4.6,4.199999999999999,4.627350427350429,4.619047619047619,14.0,4.6,4.927272727272727,9.633333333333333,9.8,45.625,247.0,9.550000000000002,18.85,4.96,448.7499999999999,4.959999999999999,4.92,9.38125000000001,8.499999999999998,42.00000000000006,4.96,9.4
5,2023-08-22 05:58:57,3.3157894736842106,3.6666666666666665,4.5,50.0,3.0,3.1788617886178865,3.0,72.36842105263158,3.0,0.5,1.9059829059829063,2.3333333333333335,7.5,3.0,3.0,6.333333333333336,8.0,17.5,90.0,4.6,4.921951219512196,4.6,210.62500000000014,4.6,4.199999999999999,4.627350427350429,4.619047619047619,14.0,4.6,4.6,9.633333333333333,9.8,45.625,99.0,4.96,18.299999999999976,4.96,448.7499999999999,4.959999999999999,4.92,9.38125000000001,8.499999999999998,42.00000000000006,4.959999999999999,4.959999999999999
6,2023-08-22 05:59:02,3.6666666666666665,3.6666666666666665,4.5,50.0,3.0,3.1788617886178865,3.0,69.23076923076924,3.0,0.5,1.9059829059829063,2.3333333333333335,8.125,3.0,3.0,8.0,8.0,17.5,90.0,4.6,4.921951219512196,4.6,366.6666666666671,4.6,4.199999999999999,4.627350427350429,4.619047619047619,18.4,4.6,4.6,9.799999999999999,9.8,45.625,99.0,4.96,18.299999999999976,4.96,1960.0000000000027,4.959999999999999,4.92,9.38125000000001,8.499999999999998,24.339999999999996,4.959999999999999,4.959999999999999
7,2023-08-22 05:59:07,3.6666666666666665,10.0,7.045454545454545,50.0,3.0,3.1788617886178865,5.0,69.23076923076924,3.0,17.5,2.6288659793814437,3.1904761904761902,8.125,3.0,3.0,8.0,190.0,24.35714285714286,90.0,4.6,4.921951219512196,9.0,366.6666666666671,4.6,85.0,8.36666666666667,8.250000000000004,18.4,4.6,4.6,9.799999999999999,244.00000000000003,200.4999999999996,99.0,4.96,18.299999999999976,9.9,1960.0000000000027,4.959999999999999,98.5,24.05909090909092,43.250000000000014,24.339999999999996,4.959999999999999,4.959999999999999
8,2023-08-22 05:59:12,3.6666666666666665,10.0,7.045454545454545,100.0,3.444444444444444,3.873239436619718,5.0,69.23076923076924,3.0,17.5,2.6288659793814437,3.1904761904761902,8.125,3.4,4.5,8.0,190.0,24.35714285714286,900.0,16.750000000000004,17.999999999999993,9.0,366.6666666666671,4.6,85.0,8.36666666666667,8.250000000000004,18.4,6.999999999999999,8.833333333333332,9.799999999999999,244.00000000000003,200.4999999999996,990.0,24.174999999999997,246.99999999999977,9.9,1960.0000000000027,4.959999999999999,98.5,24.05909090909092,43.250000000000014,24.339999999999996,9.7,9.883333333333333
9,2023-08-22 05:59:17,3.842105263157895,10.0,7.045454545454545,100.0,3.444444444444444,3.873239436619718,5.0,98.75,8.75,17.5,2.6288659793814437,3.1904761904761902,12.0,3.4,4.5,9.416666666666668,190.0,24.35714285714286,900.0,16.750000000000004,17.999999999999993,9.0,244.47368421052636,20.5,85.0,8.36666666666667,8.250000000000004,43.750000000000014,6.999999999999999,8.833333333333332,22.974999999999998,244.00000000000003,200.4999999999996,990.0,24.174999999999997,246.99999999999977,9.9,765.0000000000011,24.549999999999997,98.5,24.05909090909092,43.250000000000014,93.33333333333331,9.7,9.883333333333333
