,timestamp,carts
0,2023-08-24 15:19:33,1
1,2023-08-24 15:19:33,1
57,2023-08-24 15:15:54,1
58,2023-08-24 15:15:54,1
59,2023-08-24 15:15:54,1
75,2023-08-24 15:14:19,1
76,2023-08-24 15:14:19,1
85,2023-08-24 15:13:18,1
86,2023-08-24 15:13:18,1
87,2023-08-24 15:13:18,1
88,2023-08-24 15:13:18,1
89,2023-08-24 15:12:18,1
106,2023-08-24 15:11:01,1
107,2023-08-24 15:11:01,1
108,2023-08-24 15:11:01,1
109,2023-08-24 15:11:01,1
110,2023-08-24 15:11:01,1
122,2023-08-24 15:10:11,1
123,2023-08-24 15:10:11,1
124,2023-08-24 15:10:11,1
125,2023-08-24 15:10:11,1
126,2023-08-24 15:10:11,1
127,2023-08-24 15:10:11,1
128,2023-08-24 15:10:08,1
129,2023-08-24 15:10:08,1
130,2023-08-24 15:10:08,1
131,2023-08-24 15:10:08,1
135,2023-08-24 15:07:44,1
