,timestamp,shippingservice
22,2023-08-23 06:24:20,1
59,2023-08-23 06:19:52,1
60,2023-08-23 06:19:52,1
96,2023-08-23 06:17:26,1
97,2023-08-23 06:17:26,1
98,2023-08-23 06:17:26,1
119,2023-08-23 06:16:14,1
120,2023-08-23 06:16:14,1
121,2023-08-23 06:16:13,1
122,2023-08-23 06:16:13,1
123,2023-08-23 06:16:13,1
124,2023-08-23 06:16:13,1
139,2023-08-23 06:15:09,1
140,2023-08-23 06:15:09,1
141,2023-08-23 06:15:09,1
142,2023-08-23 06:15:09,1
143,2023-08-23 06:15:09,1
144,2023-08-23 06:15:09,1
145,2023-08-23 06:15:09,1
155,2023-08-23 06:13:28,1
179,2023-08-23 06:12:21,1
