,timestamp,checkoutservice
0,2023-08-22 05:23:22,1
1,2023-08-22 05:23:22,1
2,2023-08-22 05:23:22,1
13,2023-08-22 05:22:09,1
14,2023-08-22 05:22:09,1
19,2023-08-22 05:21:38,1
20,2023-08-22 05:21:38,1
29,2023-08-22 05:21:06,1
50,2023-08-22 05:18:39,1
51,2023-08-22 05:18:39,1
52,2023-08-22 05:18:38,1
64,2023-08-22 05:17:27,1
65,2023-08-22 05:17:27,1
66,2023-08-22 05:17:27,1
67,2023-08-22 05:17:26,1
69,2023-08-22 05:16:52,1
70,2023-08-22 05:16:52,1
71,2023-08-22 05:16:52,1
72,2023-08-22 05:16:51,1
79,2023-08-22 05:15:43,1
82,2023-08-22 05:11:55,1
83,2023-08-22 05:11:55,1
84,2023-08-22 05:11:54,1
85,2023-08-22 05:11:54,1
