,timestamp,checkoutservice
50,2023-08-23 06:45:32,1
51,2023-08-23 06:45:32,1
52,2023-08-23 06:45:30,1
53,2023-08-23 06:45:30,1
104,2023-08-23 06:40:12,1
105,2023-08-23 06:40:12,1
106,2023-08-23 06:40:12,1
107,2023-08-23 06:40:12,1
108,2023-08-23 06:40:12,1
109,2023-08-23 06:40:12,1
110,2023-08-23 06:40:12,1
111,2023-08-23 06:40:08,1
112,2023-08-23 06:40:08,1
113,2023-08-23 06:40:08,1
131,2023-08-23 06:39:00,1
132,2023-08-23 06:39:00,1
133,2023-08-23 06:39:00,1
134,2023-08-23 06:38:59,1
168,2023-08-23 06:34:05,1
169,2023-08-23 06:34:05,1
170,2023-08-23 06:34:05,1
171,2023-08-23 06:34:05,1
172,2023-08-23 06:34:05,1
173,2023-08-23 06:34:05,1
174,2023-08-23 06:34:05,1
175,2023-08-23 06:34:05,1
176,2023-08-23 06:34:05,1
177,2023-08-23 06:34:05,1
178,2023-08-23 06:34:05,1
