,timestamp,currencyservice
18,2023-08-23 06:47:34,1
19,2023-08-23 06:47:34,1
20,2023-08-23 06:47:34,1
21,2023-08-23 06:47:34,1
22,2023-08-23 06:47:34,1
25,2023-08-23 06:47:33,1
26,2023-08-23 06:47:33,1
27,2023-08-23 06:47:33,1
28,2023-08-23 06:47:33,1
29,2023-08-23 06:47:33,1
41,2023-08-23 06:45:39,1
120,2023-08-23 06:39:08,1
121,2023-08-23 06:39:08,1
122,2023-08-23 06:39:05,1
123,2023-08-23 06:39:05,1
124,2023-08-23 06:39:05,1
140,2023-08-23 06:38:51,1
143,2023-08-23 06:37:46,1
144,2023-08-23 06:37:46,1
167,2023-08-23 06:34:11,1
