,timestamp,productpage
7,2023-06-27 08:05:21,1
8,2023-06-27 08:05:21,1
10,2023-06-27 08:05:19,1
11,2023-06-27 08:05:18,1
19,2023-06-27 08:05:14,1
23,2023-06-27 08:05:13,1
26,2023-06-27 08:05:13,1
27,2023-06-27 08:05:13,1
28,2023-06-27 08:05:13,1
36,2023-06-27 08:04:38,1
37,2023-06-27 08:04:38,1
38,2023-06-27 08:04:38,1
39,2023-06-27 08:04:37,1
43,2023-06-27 08:04:37,1
48,2023-06-27 08:04:08,1
53,2023-06-27 08:04:04,1
54,2023-06-27 08:04:04,1
55,2023-06-27 08:04:04,1
56,2023-06-27 08:04:04,1
59,2023-06-27 08:04:03,1
61,2023-06-27 08:04:03,1
75,2023-06-27 08:03:35,1
76,2023-06-27 08:03:35,1
80,2023-06-27 08:03:10,1
84,2023-06-27 08:03:07,1
85,2023-06-27 08:03:06,1
86,2023-06-27 08:03:06,1
88,2023-06-27 08:03:06,1
89,2023-06-27 08:03:06,1
90,2023-06-27 08:03:05,1
93,2023-06-27 08:03:04,1
94,2023-06-27 08:03:04,1
96,2023-06-27 08:03:03,1
98,2023-06-27 08:03:03,1
100,2023-06-27 08:03:03,1
102,2023-06-27 08:03:01,1
104,2023-06-27 08:03:01,1
112,2023-06-27 08:01:58,1
113,2023-06-27 08:01:58,1
115,2023-06-27 08:01:58,1
116,2023-06-27 08:01:58,1
117,2023-06-27 08:01:34,1
120,2023-06-27 08:01:33,1
121,2023-06-27 08:01:33,1
122,2023-06-27 08:01:33,1
123,2023-06-27 08:01:33,1
124,2023-06-27 08:01:33,1
127,2023-06-27 08:01:33,1
133,2023-06-27 08:01:03,1
134,2023-06-27 08:01:03,1
138,2023-06-27 08:01:02,1
139,2023-06-27 08:01:02,1
140,2023-06-27 08:01:01,1
141,2023-06-27 08:01:01,1
142,2023-06-27 08:01:01,1
143,2023-06-27 08:01:01,1
144,2023-06-27 08:01:01,1
146,2023-06-27 08:01:00,1
148,2023-06-27 08:01:00,1
149,2023-06-27 08:01:00,1
150,2023-06-27 08:01:00,1
153,2023-06-27 08:01:00,1
154,2023-06-27 08:01:00,1
156,2023-06-27 08:00:59,1
157,2023-06-27 08:00:58,1
159,2023-06-27 07:59:59,1
164,2023-06-27 07:59:54,1
166,2023-06-27 07:59:54,1
167,2023-06-27 07:59:54,1
169,2023-06-27 07:59:53,1
170,2023-06-27 07:59:53,1
185,2023-06-27 07:58:57,1
186,2023-06-27 07:58:57,1
198,2023-06-27 07:58:26,1
199,2023-06-27 07:58:26,1
200,2023-06-27 07:58:25,1
207,2023-06-27 07:57:55,1
209,2023-06-27 07:57:54,1
212,2023-06-27 07:57:53,1
214,2023-06-27 07:57:53,1
217,2023-06-27 07:57:52,1
220,2023-06-27 07:57:52,1
222,2023-06-27 07:57:51,1
223,2023-06-27 07:57:51,1
227,2023-06-27 07:57:23,1
229,2023-06-27 07:57:23,1
230,2023-06-27 07:57:23,1
232,2023-06-27 07:57:22,1
233,2023-06-27 07:57:22,1
234,2023-06-27 07:57:22,1
240,2023-06-27 07:56:52,1
243,2023-06-27 07:56:52,1
246,2023-06-27 07:56:51,1
247,2023-06-27 07:56:50,1
249,2023-06-27 07:56:50,1
250,2023-06-27 07:56:50,1
251,2023-06-27 07:56:50,1
252,2023-06-27 07:56:50,1
253,2023-06-27 07:56:49,1
254,2023-06-27 07:56:49,1
255,2023-06-27 07:56:48,1
256,2023-06-27 07:56:48,1
257,2023-06-27 07:56:47,1
260,2023-06-27 07:56:47,1
261,2023-06-27 07:56:45,1
262,2023-06-27 07:56:45,1
263,2023-06-27 07:56:45,1
264,2023-06-27 07:56:45,1
279,2023-06-27 07:55:48,1
281,2023-06-27 07:55:48,1
282,2023-06-27 07:55:48,1
283,2023-06-27 07:55:48,1
284,2023-06-27 07:55:48,1
285,2023-06-27 07:55:48,1
286,2023-06-27 07:55:48,1
287,2023-06-27 07:55:48,1
290,2023-06-27 07:55:47,1
291,2023-06-27 07:55:47,1
