,timestamp,currencyservice
1,2023-08-22 05:56:37,1
2,2023-08-22 05:56:37,1
3,2023-08-22 05:56:37,1
81,2023-08-22 05:44:33,1
82,2023-08-22 05:44:33,1
83,2023-08-22 05:44:02,1
