,timestamp,details-v1-7d4d9d5fcb-gtrkb_cpu,details-v1-7d4d9d5fcb-gtrkb_memory,productpage-v1-66756cddfd-48z5w_cpu,productpage-v1-66756cddfd-48z5w_memory,productpage-v1-66756cddfd-5pjdl_cpu,productpage-v1-66756cddfd-5pjdl_memory,productpage-v1-66756cddfd-7dbg5_cpu,productpage-v1-66756cddfd-7dbg5_memory,productpage-v1-66756cddfd-csds5_cpu,productpage-v1-66756cddfd-csds5_memory,productpage-v1-66756cddfd-fkrm9_cpu,productpage-v1-66756cddfd-fkrm9_memory,productpage-v1-66756cddfd-j5k9c_cpu,productpage-v1-66756cddfd-j5k9c_memory,productpage-v1-66756cddfd-n6hfk_cpu,productpage-v1-66756cddfd-n6hfk_memory,productpage-v1-66756cddfd-pkfrh_cpu,productpage-v1-66756cddfd-pkfrh_memory,productpage-v1-66756cddfd-rntlb_cpu,productpage-v1-66756cddfd-rntlb_memory,productpage-v1-66756cddfd-vjl5h_cpu,productpage-v1-66756cddfd-vjl5h_memory,ratings-v1-85cc46b6d4-lpptk_cpu,ratings-v1-85cc46b6d4-lpptk_memory,reviews-v1-777df99c6d-8bnvq_cpu,reviews-v1-777df99c6d-8bnvq_memory,reviews-v2-cdd8fb88b-m67hx_cpu,reviews-v2-cdd8fb88b-m67hx_memory,reviews-v3-58b6479b-p2kpc_cpu,reviews-v3-58b6479b-p2kpc_memory
0,2023/6/22 03:22,39.76476991,65.49504,153.0625707,0,144.2398388,0,158.3891044,0,157.4849197,0,189.9632585,0,129.8569362,0,184.2074945,0,305.1902332,0,280.2084303,0,328.0931573,106.33216,17.24622971,66.101248,19.49578222,276.463616,27.14754098,239.038464,23.30011183,254.619648
1,2023/6/22 03:22,51.1793975,65.49504,188.1011594,0,174.4623252,0,193.1517636,0,188.3328629,0,223.8407181,0,161.6285491,0,219.864176,0,336.8581838,0,313.1635643,0,328.0931573,106.33216,22.3836409,66.236416,24.27556098,276.451328,27.14754098,239.038464,28.56689248,254.623744
2,2023/6/22 03:22,51.1793975,65.49504,223.1397481,97.50528,204.6848117,0,171.3521,0,219.1808061,0,257.7181778,0,193.400162,0,255.5208574,102.469632,368.5261345,0,346.1186983,0,328.0931573,106.33216,22.3836409,66.236416,24.27556098,276.451328,27.14754098,239.038464,28.56689248,254.623744
3,2023/6/22 03:22,51.1793975,65.49504,190.1053667,97.50528,231.6281328,0,271.6270077,0,271.2010832,99.5328,294.6833697,88.231936,225.2882651,0,288.5523637,102.469632,380.0154079,0,379.0738324,0,430.0920399,106.483712,22.3836409,66.236416,31.25228211,276.451328,35.16987959,239.038464,35.03505495,254.623744
4,2023/6/22 03:22,59.83075003,65.49504,347.7396076,97.50528,261.8301242,99.049472,306.1695499,0,303.9882976,99.5328,329.0079122,88.231936,256.75948,96.8704,323.7791678,102.469632,380.0154079,97.722368,410.638329,97.951744,430.0920399,106.483712,22.06422862,66.236416,31.25228211,276.451328,36.22008152,239.038464,35.6788965,254.631936
5,2023/6/22 03:23,44.18251595,65.49504,382.0989712,97.636352,292.0321156,99.049472,340.712092,104.12032,393.4465727,99.5328,364.1970409,88.231936,288.2306948,96.8704,359.0059719,103.34208,380.0154079,97.722368,410.638329,97.951744,430.0920399,106.483712,25.91848061,65.847296,29.97703392,276.590592,38.30525844,239.038464,35.6788965,254.631936
6,2023/6/22 03:23,56.8182885,66.154496,412.3123633,97.636352,297.71009,99.049472,414.5105063,104.12032,393.4465727,100.155392,398.6186581,98.85696,240.556525,97.058816,331.950025,103.34208,269.9629458,97.722368,410.638329,97.951744,437.444857,106.483712,25.91848061,65.847296,29.97703392,276.590592,38.30525844,239.038464,33.9751887,254.631936
7,2023/6/22 03:23,54.55835095,66.154496,339.3416649,97.636352,267.5080986,98.340864,323.7931549,104.12032,314.1064319,100.155392,413.0594057,98.85696,267.0379787,97.058816,325.2120938,103.34208,,97.722368,410.638329,97.951744,338.5422202,106.483712,23.71070393,66.117632,31.72457199,276.590592,38.30525844,239.038464,28.39448083,254.631936
8,2023/6/22 03:23,54.55835095,66.154496,304.9823012,97.636352,237.3061071,98.340864,289.2506127,103.989248,281.3192175,100.155392,413.0594057,98.85696,235.5667639,97.058816,289.9852897,103.571456,,97.722368,320.074511,98.111488,302.0884822,106.483712,23.71070393,66.117632,31.72457199,276.590592,28.75926883,239.038464,32.59141633,254.623744
9,2023/6/22 03:23,54.55835095,66.154496,274.0778382,97.6896,203.8241251,98.340864,264.1931134,103.989248,266.2447946,100.462592,261.065375,98.787328,204.095549,97.0752,256.0427463,103.571456,,98.521088,284.4469427,98.111488,266.8136443,106.483712,22.42928484,66.117632,30.8189351,279.195648,25.6756877,239.038464,32.59141633,254.623744
10,2023/6/22 03:23,57.55058304,65.773568,240.2306214,97.6896,173.6458418,98.881536,229.7974471,103.989248,231.8751058,100.462592,,98.787328,173.3776966,97.0752,221.1842338,103.571456,,98.521088,248.8193744,98.111488,230.2633293,106.483712,23.21991062,66.174976,30.8189351,279.195648,33.15779416,239.18592,32.41534934,254.623744
11,2023/6/22 03:23,57.55058304,65.773568,206.3834045,97.6896,143.4675586,98.881536,195.4017807,104.300544,197.5054169,100.462592,,98.934784,142.1750157,97.0752,186.3257213,103.571456,,98.521088,213.1918061,98.111488,193.7130144,106.483712,23.21991062,66.174976,28.46688519,279.195648,33.15779416,239.18592,32.53337986,254.660608
