,checkoutservice-6d6f4d7cc7-jkzgt_cpu,checkoutservice-6d6f4d7cc7-jkzgt_memory
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,1
24,0,1
25,0,1
26,1,1
27,1,1
28,1,1
29,1,0
30,1,0
31,1,0
32,1,2
33,1,2
34,1,2
35,0,3
36,0,3
37,0,2
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,1
48,0,1
49,1,1
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,3
56,0,2
57,0,2
58,0,2
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,1,0
73,1,0
74,1,0
75,1,2
76,1,2
77,1,2
78,1,3
79,0,2
80,0,2
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,1
90,0,1
91,0,1
92,0,1
93,1,1
94,1,0
95,1,0
96,1,0
97,1,0
98,1,2
99,1,2
100,1,2
101,0,2
102,0,2
103,0,2
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,1
114,0,1
115,1,1
116,1,1
117,1,1
118,1,0
119,1,0
120,1,0
