,timestamp,shipping
2,2023-08-24 15:19:30,1
3,2023-08-24 15:19:30,1
10,2023-08-24 15:18:01,1
11,2023-08-24 15:18:01,1
12,2023-08-24 15:18:01,1
13,2023-08-24 15:18:01,1
60,2023-08-24 15:15:23,1
70,2023-08-24 15:14:56,1
134,2023-08-24 15:08:43,1
