,timestamp,shippingservice
0,2023-08-23 06:13:28,1
24,2023-08-23 06:12:21,1
56,2023-08-23 06:10:16,1
57,2023-08-23 06:10:16,1
58,2023-08-23 06:10:16,1
59,2023-08-23 06:10:16,1
60,2023-08-23 06:10:16,1
61,2023-08-23 06:10:15,1
62,2023-08-23 06:10:15,1
63,2023-08-23 06:10:15,1
64,2023-08-23 06:10:15,1
65,2023-08-23 06:10:14,1
66,2023-08-23 06:10:14,1
67,2023-08-23 06:10:14,1
68,2023-08-23 06:10:14,1
82,2023-08-23 06:08:08,1
83,2023-08-23 06:08:08,1
84,2023-08-23 06:08:08,1
85,2023-08-23 06:08:07,1
86,2023-08-23 06:08:07,1
87,2023-08-23 06:08:07,1
88,2023-08-23 06:08:07,1
89,2023-08-23 06:08:07,1
90,2023-08-23 06:08:07,1
91,2023-08-23 06:08:07,1
92,2023-08-23 06:08:07,1
93,2023-08-23 06:08:07,1
94,2023-08-23 06:08:07,1
119,2023-08-23 06:06:51,1
120,2023-08-23 06:06:51,1
121,2023-08-23 06:06:51,1
122,2023-08-23 06:06:50,1
123,2023-08-23 06:06:50,1
124,2023-08-23 06:06:50,1
125,2023-08-23 06:06:50,1
126,2023-08-23 06:06:50,1
127,2023-08-23 06:06:50,1
201,2023-08-23 06:01:08,1
