,timestamp,productpage.csv
0,2023-06-30 09:10:29,0
1,2023-06-30 09:10:34,0
2,2023-06-30 09:10:39,0
3,2023-06-30 09:10:44,0
4,2023-06-30 09:10:49,0
5,2023-06-30 09:10:54,0
6,2023-06-30 09:10:59,0
7,2023-06-30 09:11:04,0
8,2023-06-30 09:11:09,0
9,2023-06-30 09:11:14,0
10,2023-06-30 09:11:19,0
11,2023-06-30 09:11:24,0
12,2023-06-30 09:11:29,0
13,2023-06-30 09:11:34,0
14,2023-06-30 09:11:39,0
15,2023-06-30 09:11:44,0
16,2023-06-30 09:11:49,0
17,2023-06-30 09:11:54,0
18,2023-06-30 09:11:59,0
19,2023-06-30 09:12:04,0
20,2023-06-30 09:12:09,0
21,2023-06-30 09:12:14,0
22,2023-06-30 09:12:19,0
23,2023-06-30 09:12:24,0
24,2023-06-30 09:12:29,0
25,2023-06-30 09:12:34,0
26,2023-06-30 09:12:39,0
27,2023-06-30 09:12:44,0
28,2023-06-30 09:12:49,0
29,2023-06-30 09:12:54,0
30,2023-06-30 09:12:59,0
31,2023-06-30 09:13:04,0
32,2023-06-30 09:13:09,0
33,2023-06-30 09:13:14,0
34,2023-06-30 09:13:19,0
35,2023-06-30 09:13:24,0
36,2023-06-30 09:13:29,0
37,2023-06-30 09:13:34,0
38,2023-06-30 09:13:39,0
39,2023-06-30 09:13:44,0
40,2023-06-30 09:13:49,0
41,2023-06-30 09:13:54,0
42,2023-06-30 09:13:59,0
43,2023-06-30 09:14:04,0
44,2023-06-30 09:14:09,0
45,2023-06-30 09:14:14,0
46,2023-06-30 09:14:19,0
47,2023-06-30 09:14:24,0
48,2023-06-30 09:14:29,0
49,2023-06-30 09:14:34,0
50,2023-06-30 09:14:39,0
51,2023-06-30 09:14:44,0
52,2023-06-30 09:14:49,0
53,2023-06-30 09:14:54,0
54,2023-06-30 09:14:59,0
55,2023-06-30 09:15:04,0
56,2023-06-30 09:15:09,0
57,2023-06-30 09:15:14,0
58,2023-06-30 09:15:19,0
59,2023-06-30 09:15:24,0
60,2023-06-30 09:15:29,0
61,2023-06-30 09:15:34,0
62,2023-06-30 09:15:39,0
63,2023-06-30 09:15:44,0
64,2023-06-30 09:15:49,0
65,2023-06-30 09:15:54,0
66,2023-06-30 09:15:59,0
67,2023-06-30 09:16:04,0
68,2023-06-30 09:16:09,0
69,2023-06-30 09:16:14,0
70,2023-06-30 09:16:19,0
71,2023-06-30 09:16:24,0
72,2023-06-30 09:16:29,0
73,2023-06-30 09:16:34,0
74,2023-06-30 09:16:39,0
75,2023-06-30 09:16:44,0
76,2023-06-30 09:16:49,0
77,2023-06-30 09:16:54,0
78,2023-06-30 09:16:59,0
79,2023-06-30 09:17:04,0
80,2023-06-30 09:17:09,0
81,2023-06-30 09:17:14,0
82,2023-06-30 09:17:19,0
83,2023-06-30 09:17:24,0
84,2023-06-30 09:17:29,0
85,2023-06-30 09:17:34,0
86,2023-06-30 09:17:39,0
87,2023-06-30 09:17:44,0
88,2023-06-30 09:17:49,0
89,2023-06-30 09:17:54,0
90,2023-06-30 09:17:59,0
91,2023-06-30 09:18:04,0
92,2023-06-30 09:18:09,0
93,2023-06-30 09:18:14,0
94,2023-06-30 09:18:19,0
95,2023-06-30 09:18:24,0
96,2023-06-30 09:18:29,0
97,2023-06-30 09:18:34,0
98,2023-06-30 09:18:39,0
99,2023-06-30 09:18:44,0
100,2023-06-30 09:18:49,0
101,2023-06-30 09:18:54,0
102,2023-06-30 09:18:59,0
103,2023-06-30 09:19:04,0
104,2023-06-30 09:19:09,0
105,2023-06-30 09:19:14,0
106,2023-06-30 09:19:19,0
107,2023-06-30 09:19:24,0
108,2023-06-30 09:19:29,0
109,2023-06-30 09:19:34,0
110,2023-06-30 09:19:39,0
111,2023-06-30 09:19:44,0
112,2023-06-30 09:19:49,0
113,2023-06-30 09:19:54,0
114,2023-06-30 09:19:59,0
115,2023-06-30 09:20:04,0
116,2023-06-30 09:20:09,0
117,2023-06-30 09:20:14,0
118,2023-06-30 09:20:19,0
119,2023-06-30 09:20:24,0
120,2023-06-30 09:20:29,0
