,timestamp,details.csv
0,2023-06-27 07:55:00,0
1,2023-06-27 07:55:05,0
2,2023-06-27 07:55:10,0
3,2023-06-27 07:55:15,0
4,2023-06-27 07:55:20,0
5,2023-06-27 07:55:25,0
6,2023-06-27 07:55:30,0
7,2023-06-27 07:55:35,0
8,2023-06-27 07:55:40,0
9,2023-06-27 07:55:45,0
10,2023-06-27 07:55:50,0
11,2023-06-27 07:55:55,0
12,2023-06-27 07:56:00,0
13,2023-06-27 07:56:05,0
14,2023-06-27 07:56:10,0
15,2023-06-27 07:56:15,0
16,2023-06-27 07:56:20,0
17,2023-06-27 07:56:25,0
18,2023-06-27 07:56:30,0
19,2023-06-27 07:56:35,0
20,2023-06-27 07:56:40,0
21,2023-06-27 07:56:45,0
22,2023-06-27 07:56:50,0
23,2023-06-27 07:56:55,0
24,2023-06-27 07:57:00,0
25,2023-06-27 07:57:05,0
26,2023-06-27 07:57:10,0
27,2023-06-27 07:57:15,0
28,2023-06-27 07:57:20,0
29,2023-06-27 07:57:25,0
30,2023-06-27 07:57:30,0
31,2023-06-27 07:57:35,0
32,2023-06-27 07:57:40,0
33,2023-06-27 07:57:45,0
34,2023-06-27 07:57:50,0
35,2023-06-27 07:57:55,0
36,2023-06-27 07:58:00,0
37,2023-06-27 07:58:05,0
38,2023-06-27 07:58:10,0
39,2023-06-27 07:58:15,0
40,2023-06-27 07:58:20,0
41,2023-06-27 07:58:25,0
42,2023-06-27 07:58:30,0
43,2023-06-27 07:58:35,0
44,2023-06-27 07:58:40,0
45,2023-06-27 07:58:45,0
46,2023-06-27 07:58:50,0
47,2023-06-27 07:58:55,0
48,2023-06-27 07:59:00,0
49,2023-06-27 07:59:05,0
50,2023-06-27 07:59:10,0
51,2023-06-27 07:59:15,1
52,2023-06-27 07:59:20,0
53,2023-06-27 07:59:25,0
54,2023-06-27 07:59:30,0
55,2023-06-27 07:59:35,0
56,2023-06-27 07:59:40,0
57,2023-06-27 07:59:45,0
58,2023-06-27 07:59:50,0
59,2023-06-27 07:59:55,0
60,2023-06-27 08:00:00,0
61,2023-06-27 08:00:05,0
62,2023-06-27 08:00:10,0
63,2023-06-27 08:00:15,0
64,2023-06-27 08:00:20,0
65,2023-06-27 08:00:25,0
66,2023-06-27 08:00:30,0
67,2023-06-27 08:00:35,0
68,2023-06-27 08:00:40,0
69,2023-06-27 08:00:45,0
70,2023-06-27 08:00:50,0
71,2023-06-27 08:00:55,0
72,2023-06-27 08:01:00,0
73,2023-06-27 08:01:05,0
74,2023-06-27 08:01:10,0
75,2023-06-27 08:01:15,0
76,2023-06-27 08:01:20,0
77,2023-06-27 08:01:25,0
78,2023-06-27 08:01:30,0
79,2023-06-27 08:01:35,0
80,2023-06-27 08:01:40,0
81,2023-06-27 08:01:45,0
82,2023-06-27 08:01:50,0
83,2023-06-27 08:01:55,0
84,2023-06-27 08:02:00,0
85,2023-06-27 08:02:05,0
86,2023-06-27 08:02:10,0
87,2023-06-27 08:02:15,0
88,2023-06-27 08:02:20,0
89,2023-06-27 08:02:25,0
90,2023-06-27 08:02:30,0
91,2023-06-27 08:02:35,0
92,2023-06-27 08:02:40,0
93,2023-06-27 08:02:45,0
94,2023-06-27 08:02:50,0
95,2023-06-27 08:02:55,0
96,2023-06-27 08:03:00,0
97,2023-06-27 08:03:05,0
98,2023-06-27 08:03:10,0
99,2023-06-27 08:03:15,0
100,2023-06-27 08:03:20,0
101,2023-06-27 08:03:25,0
102,2023-06-27 08:03:30,0
103,2023-06-27 08:03:35,0
104,2023-06-27 08:03:40,0
105,2023-06-27 08:03:45,0
106,2023-06-27 08:03:50,0
107,2023-06-27 08:03:55,0
108,2023-06-27 08:04:00,0
109,2023-06-27 08:04:05,0
110,2023-06-27 08:04:10,0
111,2023-06-27 08:04:15,0
112,2023-06-27 08:04:20,0
113,2023-06-27 08:04:25,0
114,2023-06-27 08:04:30,0
115,2023-06-27 08:04:35,0
116,2023-06-27 08:04:40,0
117,2023-06-27 08:04:45,0
118,2023-06-27 08:04:50,0
119,2023-06-27 08:04:55,0
120,2023-06-27 08:05:00,0
