,timestamp,details-v1-7d4d9d5fcb-gtrkb_cpu,details-v1-7d4d9d5fcb-gtrkb_memory,productpage-v1-66756cddfd-bckcm_cpu,productpage-v1-66756cddfd-bckcm_memory,ratings-v1-85cc46b6d4-5gzc6_cpu,ratings-v1-85cc46b6d4-5gzc6_memory,ratings-v1-85cc46b6d4-8zrvf_cpu,ratings-v1-85cc46b6d4-8zrvf_memory,ratings-v1-85cc46b6d4-hsxlx_cpu,ratings-v1-85cc46b6d4-hsxlx_memory,ratings-v1-85cc46b6d4-j8shg_cpu,ratings-v1-85cc46b6d4-j8shg_memory,ratings-v1-85cc46b6d4-jrxdm_cpu,ratings-v1-85cc46b6d4-jrxdm_memory,ratings-v1-85cc46b6d4-r7k72_cpu,ratings-v1-85cc46b6d4-r7k72_memory,ratings-v1-85cc46b6d4-vkccd_cpu,ratings-v1-85cc46b6d4-vkccd_memory,ratings-v1-85cc46b6d4-xx2tv_cpu,ratings-v1-85cc46b6d4-xx2tv_memory,reviews-v1-777df99c6d-8bnvq_cpu,reviews-v1-777df99c6d-8bnvq_memory,reviews-v2-cdd8fb88b-m67hx_cpu,reviews-v2-cdd8fb88b-m67hx_memory,reviews-v3-58b6479b-p2kpc_cpu,reviews-v3-58b6479b-p2kpc_memory
0,2023/5/31 09:12,4.857161079,69.738496,22.83840054,85.106688,16.50665061,0,20.66824396,0,15.78178313,61.31712,17.81233457,0,4.364231044,46.73536,21.59643708,0,13.59058317,0,20.84059129,0,7.394068367,247.943168,7.353601787,223.82592,6.619068643,226.238464
1,2023/5/31 09:12,4.830122468,69.738496,21.5303335,85.106688,19.47110063,0,,0,19.17279798,61.31712,20.79158367,0,3.663420399,46.73536,24.72046964,0,16.61239154,0,23.92689749,0,5.091500986,247.943168,6.906435263,223.82592,6.619068643,226.238464
2,2023/5/31 09:12,4.830122468,69.738496,54.01826164,85.36064,22.43555065,0,,0,20.52950129,61.31712,23.77083278,0,7.460088651,48.697344,27.8445022,0,19.07953638,0,27.0132037,0,5.672473856,247.943168,10.5692921,223.883264,6.619068643,226.238464
3,2023/5/31 09:12,16.50565258,69.849088,54.01826164,85.36064,24.39601908,0,,51.781632,23.72813974,61.140992,20.47816667,57.581568,8.24501306,48.697344,28.6334431,49.094656,22.03094621,0,37.03567447,51.171328,6.971674435,247.943168,10.5692921,223.883264,15.12248301,226.4064
4,2023/5/31 09:12,16.50565258,69.849088,71.04250262,85.36064,27.29587098,48.508928,,51.781632,26.92677819,61.140992,26.49982496,57.581568,8.24501306,48.697344,35.16973911,49.094656,20.264675,49.913856,34.75544525,51.171328,5.48435484,247.943168,12.18004022,223.883264,15.12248301,226.4064
5,2023/5/31 09:12,25.20977219,69.853184,58.98244578,85.36064,34.79822283,48.508928,,51.781632,29.34808275,61.157376,23.52057586,57.581568,22.71406768,52.404224,35.16973911,49.094656,27.6196736,49.913856,34.75544525,51.171328,4.903381971,247.943168,12.18004022,223.883264,22.05565672,226.402304
6,2023/5/31 09:12,30.50940071,69.853184,215.152076,85.336064,34.79822283,48.508928,,51.781632,32.47220225,61.157376,34.73981864,57.581568,22.71406768,52.404224,35.16973911,49.094656,34.32140452,49.913856,34.75544525,51.171328,17.98850279,247.967744,27.55361005,223.891456,22.05565672,226.402304
7,2023/5/31 09:12,42.02648967,69.85728,310.9771908,85.336064,34.67974801,48.807936,,52.908032,32.52531228,61.157376,34.73981864,58.769408,22.71406768,52.404224,33.92263239,50.290688,34.32140452,50.311168,34.75544525,52.06016,17.98850279,247.967744,39.09604354,223.891456,22.05565672,226.402304
8,2023/5/31 09:12,42.02648967,69.85728,310.9771908,85.336064,34.67974801,48.807936,,,29.40119278,62.205952,34.21492871,58.769408,29.38739792,51.73248,31.8791546,50.290688,28.70480201,50.311168,32.83055995,52.06016,18.19868219,247.980032,39.99488247,223.895552,38.67183945,226.557952
9,2023/5/31 09:12,52.54859705,69.85728,332.6366067,85.315584,34.22387408,48.807936,,,19.34815,62.205952,34.195811,58.769408,29.38739792,51.73248,31.8791546,50.290688,33.6825558,49.999872,25.11729348,52.06016,23.52354316,247.980032,39.99488247,223.895552,38.67183945,226.557952
