,timestamp,productpage-v1_details-v1&p50,istio-ingressgateway_productpage-v1&p50,reviews-v2_ratings-v1&p50,reviews-v3_ratings-v1&p50,productpage-v1_reviews-v1&p50,productpage-v1_reviews-v2&p50,productpage-v1_reviews-v3&p50,productpage-v1_details-v1&p90,istio-ingressgateway_productpage-v1&p90,reviews-v2_ratings-v1&p90,reviews-v3_ratings-v1&p90,productpage-v1_reviews-v1&p90,productpage-v1_reviews-v2&p90,productpage-v1_reviews-v3&p90,productpage-v1_details-v1&p99,istio-ingressgateway_productpage-v1&p99,reviews-v2_ratings-v1&p99,reviews-v3_ratings-v1&p99,productpage-v1_reviews-v1&p99,productpage-v1_reviews-v2&p99,productpage-v1_reviews-v3&p99
0,2023-05-31 09:12:02,,,3.2954545454545454,3.1739130434782608,,,,,,6.45,4.913043478260869,,,,,,19.95000000000001,9.99999999999999,,,
1,2023-05-31 09:12:07,,,3.2954545454545454,3.1739130434782608,,,,,,6.45,4.913043478260869,,,,,,19.95000000000001,9.99999999999999,,,
2,2023-05-31 09:12:12,,,3.2954545454545454,3.1739130434782608,,,,,,6.45,4.913043478260869,,,,,,19.95000000000001,9.99999999999999,,,
3,2023-05-31 09:12:17,,43.359375,3.153846153846154,3.1839080459770113,,,,,93.79310344827586,4.876923076923077,4.931034482758621,,,,,248.49999999999983,9.3,17.875,,,
4,2023-05-31 09:12:22,3.4154589371980677,43.359375,3.153846153846154,3.1839080459770113,3.2857142857142856,8.724489795918368,9.256756756756756,22.50000000000001,93.79310344827586,4.876923076923077,4.931034482758621,7.75,23.071428571428577,23.977272727272727,48.36956521739128,248.49999999999983,9.3,17.875,35.5,134.50000000000114,152.4999999999995
5,2023-05-31 09:12:27,3.4154589371980677,43.359375,3.153846153846154,3.1839080459770113,3.2857142857142856,8.724489795918368,9.256756756756756,22.50000000000001,93.79310344827586,4.876923076923077,4.931034482758621,7.75,23.071428571428577,23.977272727272727,48.36956521739128,248.49999999999983,9.3,17.875,35.5,134.50000000000114,152.4999999999995
6,2023-05-31 09:12:32,3.4154589371980677,40.81491712707182,3.4074074074074074,3.385964912280702,3.2857142857142856,8.724489795918368,9.256756756756756,22.50000000000001,88.9344262295082,8.75,7.625000000000009,7.75,23.071428571428577,23.977272727272727,48.36956521739128,221.4999999999998,23.049999999999983,21.600000000000026,35.5,134.50000000000114,152.4999999999995
7,2023-05-31 09:12:37,3.6,40.81491712707182,3.4074074074074074,3.385964912280702,3.0487804878048785,8.813559322033898,8.307692307692308,22.699999999999964,88.9344262295082,8.75,7.625000000000009,4.804878048780488,33.18181818181818,19.923076923076927,47.27000000000002,221.4999999999998,23.049999999999983,21.600000000000026,9.100000000000001,76.5,25.50000000000022
8,2023-05-31 09:12:42,3.6,40.81491712707182,3.4074074074074074,3.385964912280702,3.0487804878048785,8.813559322033898,8.307692307692308,22.699999999999964,88.9344262295082,8.75,7.625000000000009,4.804878048780488,33.18181818181818,19.923076923076927,47.27000000000002,221.4999999999998,23.049999999999983,21.600000000000026,9.100000000000001,76.5,25.50000000000022
9,2023-05-31 09:12:47,3.6,39.24242424242425,3.4074074074074074,3.385964912280702,3.0487804878048785,8.813559322033898,8.307692307692308,22.699999999999964,84.26470588235296,8.75,7.625000000000009,4.804878048780488,33.18181818181818,19.923076923076927,47.27000000000002,208.42857142857105,23.049999999999983,21.600000000000026,9.100000000000001,76.5,25.50000000000022
10,2023-05-31 09:12:52,3.4705882352941178,39.24242424242425,3.4074074074074074,3.385964912280702,3.1927710843373496,8.080357142857142,8.169642857142858,22.833333333333307,84.26470588235296,8.75,7.625000000000009,5.312499999999999,19.375,21.9375,47.37500000000001,208.42857142857105,23.049999999999983,21.600000000000026,26.249999999999865,28.749999999999883,50.50000000000036
11,2023-05-31 09:12:57,3.4705882352941178,39.24242424242425,3.4074074074074074,3.385964912280702,3.1927710843373496,8.080357142857142,8.169642857142858,22.833333333333307,84.26470588235296,8.75,7.625000000000009,5.312499999999999,19.375,21.9375,47.37500000000001,208.42857142857105,23.049999999999983,21.600000000000026,26.249999999999865,28.749999999999883,50.50000000000036
12,2023-05-31 09:13:02,3.4705882352941178,46.46017699115044,3.4074074074074074,3.385964912280702,3.1927710843373496,8.080357142857142,8.169642857142858,22.833333333333307,97.36842105263156,8.75,7.625000000000009,5.312499999999999,19.375,21.9375,47.37500000000001,239.41176470588218,23.049999999999983,21.600000000000026,26.249999999999865,28.749999999999883,50.50000000000036
13,2023-05-31 09:13:07,3.712328767123288,46.46017699115044,3.3358059901902197,3.347848159284514,3.5090909090909093,14.453125,11.874999999999998,9.735294117647058,97.36842105263156,7.334127333626915,6.950378317786948,8.950000000000003,39.42307692307691,24.94642857142857,42.928571428571445,239.41176470588218,23.71362116275082,18.927809733406672,32.25000000000022,312.49999999999915,84.75
14,2023-05-31 09:13:12,3.712328767123288,46.46017699115044,3.3358059901902197,3.347848159284514,3.5090909090909093,14.453125,11.874999999999998,9.735294117647058,97.36842105263156,7.334127333626915,6.950378317786948,8.950000000000003,39.42307692307691,24.94642857142857,42.928571428571445,239.41176470588218,23.71362116275082,18.927809733406672,32.25000000000022,312.49999999999915,84.75
15,2023-05-31 09:13:17,3.712328767123288,62.06896551724138,3.289156626506024,3.3209876543209873,3.5090909090909093,14.453125,11.874999999999998,9.735294117647058,202.85714285714292,6.38888888888889,6.4999999999999964,8.950000000000003,39.42307692307691,24.94642857142857,42.928571428571445,443.57142857142816,26.249999999999865,10.899999999999904,32.25000000000022,312.49999999999915,84.75
