,timestamp,productpage
19,2023-06-27 09:20:36,1
20,2023-06-27 09:20:36,1
22,2023-06-27 09:20:36,1
23,2023-06-27 09:20:36,1
25,2023-06-27 09:20:36,1
26,2023-06-27 09:20:36,1
27,2023-06-27 09:20:36,1
47,2023-06-27 09:19:04,1
48,2023-06-27 09:19:04,1
49,2023-06-27 09:19:04,1
52,2023-06-27 09:19:03,1
53,2023-06-27 09:19:03,1
54,2023-06-27 09:19:03,1
55,2023-06-27 09:19:03,1
56,2023-06-27 09:19:02,1
60,2023-06-27 09:19:02,1
63,2023-06-27 09:19:01,1
65,2023-06-27 09:19:01,1
66,2023-06-27 09:19:01,1
69,2023-06-27 09:18:32,1
70,2023-06-27 09:18:32,1
71,2023-06-27 09:18:32,1
73,2023-06-27 09:18:31,1
74,2023-06-27 09:18:31,1
75,2023-06-27 09:18:31,1
76,2023-06-27 09:18:31,1
77,2023-06-27 09:18:31,1
80,2023-06-27 09:18:31,1
81,2023-06-27 09:18:30,1
82,2023-06-27 09:18:29,1
86,2023-06-27 09:18:29,1
88,2023-06-27 09:18:29,1
89,2023-06-27 09:18:29,1
93,2023-06-27 09:17:29,1
95,2023-06-27 09:17:29,1
98,2023-06-27 09:17:28,1
105,2023-06-27 09:17:23,1
106,2023-06-27 09:17:23,1
107,2023-06-27 09:17:23,1
108,2023-06-27 09:17:23,1
116,2023-06-27 09:16:20,1
143,2023-06-27 09:14:58,1
146,2023-06-27 09:14:58,1
148,2023-06-27 09:14:58,1
149,2023-06-27 09:14:58,1
150,2023-06-27 09:14:56,1
152,2023-06-27 09:14:55,1
153,2023-06-27 09:14:55,1
155,2023-06-27 09:14:55,1
156,2023-06-27 09:14:55,1
158,2023-06-27 09:14:33,1
159,2023-06-27 09:14:33,1
169,2023-06-27 09:12:48,1
170,2023-06-27 09:12:48,1
172,2023-06-27 09:12:46,1
173,2023-06-27 09:12:46,1
174,2023-06-27 09:12:46,1
175,2023-06-27 09:12:46,1
178,2023-06-27 09:12:45,1
179,2023-06-27 09:12:45,1
180,2023-06-27 09:12:45,1
181,2023-06-27 09:12:45,1
186,2023-06-27 09:12:45,1
187,2023-06-27 09:12:45,1
188,2023-06-27 09:12:45,1
189,2023-06-27 09:12:45,1
190,2023-06-27 09:12:45,1
216,2023-06-27 09:10:50,1
220,2023-06-27 09:10:47,1
231,2023-06-27 09:10:43,1
234,2023-06-27 09:10:42,1
238,2023-06-27 09:10:40,1
241,2023-06-27 09:10:40,1
242,2023-06-27 09:10:39,1
245,2023-06-27 09:10:39,1
246,2023-06-27 09:10:38,1
247,2023-06-27 09:10:38,1
248,2023-06-27 09:10:38,1
249,2023-06-27 09:10:38,1
251,2023-06-27 09:10:38,1
