"@timestamp","process.args","kubernetes.labels.app","kubernetes.pod.name"
"2023-08-23 06:43:18","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee/init.pid, 86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee",recommendationservice,"recommendationservice-cc746f6c7-9r7zm"
"2023-08-23 06:43:16","/usr/bin/containerd-shim-runc-v2, -namespace, moby, -id, 86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee, -address, /var/run/desktop-containerd/containerd.sock",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:43:16","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee/init.pid, 86bb867fc5e537a659e06d0fe79d978460b2a497baaa51082d80fe6b2a14bbee",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:43:16","runc, init",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:43:16","runc, init",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:43:16","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/1ab90b8d5319f3ddea97e806f8a484faa0cec8921c9fd7a39db780c0d0dd1555/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/1ab90b8d5319f3ddea97e806f8a484faa0cec8921c9fd7a39db780c0d0dd1555, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/1ab90b8d5319f3ddea97e806f8a484faa0cec8921c9fd7a39db780c0d0dd1555/init.pid, 1ab90b8d5319f3ddea97e806f8a484faa0cec8921c9fd7a39db780c0d0dd1555",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:43:16","runc, init",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:43:16","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/d9f96a3936f814c863338288fbfb39c66a7314cbde4c1f5ab35ce3c7deb2373f/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/d9f96a3936f814c863338288fbfb39c66a7314cbde4c1f5ab35ce3c7deb2373f, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/d9f96a3936f814c863338288fbfb39c66a7314cbde4c1f5ab35ce3c7deb2373f/init.pid, d9f96a3936f814c863338288fbfb39c66a7314cbde4c1f5ab35ce3c7deb2373f",productcatalogservice,"productcatalogservice-6b5dd45849-52szd"
"2023-08-23 06:42:21","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19/init.pid, b722d8383b79d6b98ee1a3baaf3fb73aa58ba06186d17a2ed020e7264f0afe19",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
"2023-08-23 06:42:21","runc, --root, /var/run/docker/runtime-runc/moby, --log, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543/log.json, --log-format, json, create, --bundle, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543, --pid-file, /var/run/desktop-containerd/daemon/io.containerd.runtime.v2.task/moby/0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543/init.pid, 0983fe9d26b616dbb79fed66c9b99a4eb8fb1b90d66e54cc08ea8955288c3543",loadgenerator,"loadgenerator-7f8f5d8fb6-5mm4r"
