,timestamp,shippingservice.csv
0,2023-08-23 05:40:49,0
1,2023-08-23 05:40:54,0
2,2023-08-23 05:40:59,0
3,2023-08-23 05:41:04,0
4,2023-08-23 05:41:09,0
5,2023-08-23 05:41:14,0
6,2023-08-23 05:41:19,0
7,2023-08-23 05:41:24,0
8,2023-08-23 05:41:29,0
9,2023-08-23 05:41:34,0
10,2023-08-23 05:41:39,0
11,2023-08-23 05:41:44,0
12,2023-08-23 05:41:49,0
13,2023-08-23 05:41:54,0
14,2023-08-23 05:41:59,0
15,2023-08-23 05:42:04,0
16,2023-08-23 05:42:09,0
17,2023-08-23 05:42:14,0
18,2023-08-23 05:42:19,0
19,2023-08-23 05:42:24,0
20,2023-08-23 05:42:29,0
21,2023-08-23 05:42:34,0
22,2023-08-23 05:42:39,0
23,2023-08-23 05:42:44,0
24,2023-08-23 05:42:49,0
25,2023-08-23 05:42:54,0
26,2023-08-23 05:42:59,0
27,2023-08-23 05:43:04,0
28,2023-08-23 05:43:09,0
29,2023-08-23 05:43:14,0
30,2023-08-23 05:43:19,0
31,2023-08-23 05:43:24,0
32,2023-08-23 05:43:29,0
33,2023-08-23 05:43:34,0
34,2023-08-23 05:43:39,0
35,2023-08-23 05:43:44,0
36,2023-08-23 05:43:49,0
37,2023-08-23 05:43:54,0
38,2023-08-23 05:43:59,0
39,2023-08-23 05:44:04,0
40,2023-08-23 05:44:09,0
41,2023-08-23 05:44:14,0
42,2023-08-23 05:44:19,0
43,2023-08-23 05:44:24,0
44,2023-08-23 05:44:29,0
45,2023-08-23 05:44:34,0
46,2023-08-23 05:44:39,0
47,2023-08-23 05:44:44,0
48,2023-08-23 05:44:49,0
49,2023-08-23 05:44:54,0
50,2023-08-23 05:44:59,0
51,2023-08-23 05:45:04,0
52,2023-08-23 05:45:09,0
53,2023-08-23 05:45:14,0
54,2023-08-23 05:45:19,0
55,2023-08-23 05:45:24,1
56,2023-08-23 05:45:29,0
57,2023-08-23 05:45:34,0
58,2023-08-23 05:45:39,0
59,2023-08-23 05:45:44,0
60,2023-08-23 05:45:49,0
61,2023-08-23 05:45:54,0
62,2023-08-23 05:45:59,0
63,2023-08-23 05:46:04,0
64,2023-08-23 05:46:09,0
65,2023-08-23 05:46:14,0
66,2023-08-23 05:46:19,0
67,2023-08-23 05:46:24,0
68,2023-08-23 05:46:29,0
69,2023-08-23 05:46:34,0
70,2023-08-23 05:46:39,0
71,2023-08-23 05:46:44,0
72,2023-08-23 05:46:49,0
73,2023-08-23 05:46:54,0
74,2023-08-23 05:46:59,0
75,2023-08-23 05:47:04,0
76,2023-08-23 05:47:09,0
77,2023-08-23 05:47:14,0
78,2023-08-23 05:47:19,0
79,2023-08-23 05:47:24,0
80,2023-08-23 05:47:29,0
81,2023-08-23 05:47:34,0
82,2023-08-23 05:47:39,0
83,2023-08-23 05:47:44,0
84,2023-08-23 05:47:49,0
85,2023-08-23 05:47:54,0
86,2023-08-23 05:47:59,0
87,2023-08-23 05:48:04,0
88,2023-08-23 05:48:09,0
89,2023-08-23 05:48:14,0
90,2023-08-23 05:48:19,0
91,2023-08-23 05:48:24,0
92,2023-08-23 05:48:29,0
93,2023-08-23 05:48:34,0
94,2023-08-23 05:48:39,0
95,2023-08-23 05:48:44,0
96,2023-08-23 05:48:49,0
97,2023-08-23 05:48:54,0
98,2023-08-23 05:48:59,0
99,2023-08-23 05:49:04,0
100,2023-08-23 05:49:09,0
101,2023-08-23 05:49:14,0
102,2023-08-23 05:49:19,0
103,2023-08-23 05:49:24,0
104,2023-08-23 05:49:29,0
105,2023-08-23 05:49:34,0
106,2023-08-23 05:49:39,0
107,2023-08-23 05:49:44,0
108,2023-08-23 05:49:49,0
109,2023-08-23 05:49:54,0
110,2023-08-23 05:49:59,0
111,2023-08-23 05:50:04,0
112,2023-08-23 05:50:09,0
113,2023-08-23 05:50:14,0
114,2023-08-23 05:50:19,0
115,2023-08-23 05:50:24,0
116,2023-08-23 05:50:29,0
117,2023-08-23 05:50:34,0
118,2023-08-23 05:50:39,0
119,2023-08-23 05:50:44,0
120,2023-08-23 05:50:49,0
