,details-v1-7d4d9d5fcb-pkpvm_cpu,details-v1-7d4d9d5fcb-pkpvm_memory,productpage-v1-66756cddfd-psmzt_cpu,productpage-v1-66756cddfd-psmzt_memory,ratings-v1-85cc46b6d4-txdpr_cpu,ratings-v1-85cc46b6d4-txdpr_memory,reviews-v1-777df99c6d-lz7ht_cpu,reviews-v1-777df99c6d-lz7ht_memory,reviews-v2-cdd8fb88b-pd9dw_cpu,reviews-v2-cdd8fb88b-pd9dw_memory,reviews-v3-58b6479b-6btgp_cpu,reviews-v3-58b6479b-6btgp_memory,productpage-v1_details-v1&p50,istio-ingressgateway_productpage-v1&p50,reviews-v2_ratings-v1&p50,reviews-v3_ratings-v1&p50,productpage-v1_reviews-v1&p50,productpage-v1_reviews-v2&p50,productpage-v1_reviews-v3&p50,productpage-v1_details-v1&p90,istio-ingressgateway_productpage-v1&p90,reviews-v2_ratings-v1&p90,reviews-v3_ratings-v1&p90,productpage-v1_reviews-v1&p90,productpage-v1_reviews-v2&p90,productpage-v1_reviews-v3&p90,productpage-v1_details-v1&p99,istio-ingressgateway_productpage-v1&p99,reviews-v2_ratings-v1&p99,reviews-v3_ratings-v1&p99,productpage-v1_reviews-v1&p99,productpage-v1_reviews-v2&p99,productpage-v1_reviews-v3&p99,details.csv,ratings.csv,reviews.csv,productpage.csv
0,49.4554441260739,88.682496,320.15659299190884,115.331072,20.69886579246958,68.194304,10.89662500000088,268.066816,27.53774128493333,241.696768,41.2011677642748,256.684032,4.153846153846154,40.41666666666666,3.0,3.0,2.3714285714285714,5.833333333333333,6.323529411764706,38.61111111111112,92.29729729729728,4.6,4.6,4.657142857142857,18.25,21.700000000000003,48.86111111111112,217.89999999999984,4.959999999999999,4.96,17.5,24.325,46.58333333333333,0,0,0,0
1,24.136666820636066,88.682496,283.40824896643306,115.331072,18.55950633755897,68.194304,12.27618165449228,268.066816,23.067906912033905,241.696768,43.237975808754925,256.684032,4.153846153846154,40.41666666666666,3.0,3.0,2.3714285714285714,5.833333333333333,6.323529411764706,38.61111111111112,92.29729729729728,4.6,4.6,4.657142857142857,18.25,21.700000000000003,48.86111111111112,217.89999999999984,4.959999999999999,4.96,17.5,24.325,46.58333333333333,0,0,0,0
2,28.822768618532468,88.682496,189.95973973159812,115.421184,13.22501380452798,68.194304,11.274013763692082,268.079104,16.108058886023443,241.737728,29.54367410888979,256.73728,4.153846153846154,,3.0,3.0,,,,38.61111111111112,,4.6,4.6,,,,48.86111111111112,,4.959999999999999,4.96,,,,0,0,0,0
3,28.822768618532468,88.682496,189.95973973159812,115.421184,13.22501380452798,68.194304,11.274013763692082,268.079104,16.108058886023443,241.737728,29.54367410888979,256.73728,3.75,,3.0,2.7333333333333334,,,,29.375,,16.375,4.973333333333333,,,,47.93749999999999,,24.1375,9.475,,,,0,0,0,0
4,24.520009643262544,88.682496,133.63407466243427,115.421184,9.298000862936451,68.194304,11.44567769076273,268.087296,16.108058886023443,241.737728,25.49683013470368,256.733184,3.75,,3.0,2.7333333333333334,,,,29.375,,16.375,4.973333333333333,,,,47.93749999999999,,24.1375,9.475,,,,0,0,0,0
5,25.48399066511114,88.69888,206.77036857871371,115.429376,9.298000862936451,68.194304,11.44567769076273,268.087296,19.434975946960737,241.7664,29.83248455698559,256.733184,3.75,45.5,3.0,2.7333333333333334,3.0816326530612246,7.954545454545455,8.365384615384615,29.375,94.87179487179488,16.375,4.973333333333333,5.750000000000003,27.81250000000001,21.925000000000004,47.93749999999999,236.153846153846,24.1375,9.475,15.850000000000028,128.4999999999999,42.37500000000005,0,0,0,0
6,25.48399066511114,88.69888,161.06123865836486,115.429376,14.65201304172579,68.304896,8.965138182851428,268.087296,19.434975946960737,241.7664,29.83248455698559,256.733184,4.161290322580645,45.5,2.7812500000000004,2.666666666666667,3.0816326530612246,7.954545454545455,8.365384615384615,37.21590909090909,94.87179487179488,4.80625,4.630303030303031,5.750000000000003,27.81250000000001,21.925000000000004,49.74431818181817,236.153846153846,12.849999999999978,12.849999999999978,15.850000000000028,128.4999999999999,42.37500000000005,0,0,0,0
7,35.147971486403506,88.702976,194.6143794645486,115.429376,14.700582103695098,68.304896,8.965138182851428,268.087296,19.808426596442438,241.7664,30.240061638935217,256.753664,4.161290322580645,45.5,2.7812500000000004,2.666666666666667,3.0816326530612246,7.954545454545455,8.365384615384615,37.21590909090909,94.87179487179488,4.80625,4.630303030303031,5.750000000000003,27.81250000000001,21.925000000000004,49.74431818181817,236.153846153846,12.849999999999978,12.849999999999978,15.850000000000028,128.4999999999999,42.37500000000005,0,0,0,0
8,41.14620779341156,88.702976,194.6143794645486,115.429376,17.212722756662895,68.767744,8.965138182851428,268.087296,23.96013006917652,241.770496,20.384571819618884,256.753664,4.161290322580645,44.08914728682171,2.7812500000000004,2.666666666666667,3.0217391304347827,8.297872340425531,8.15,37.21590909090909,89.72826086956522,4.80625,4.630303030303031,4.743478260869566,20.799999999999997,21.02500000000001,49.74431818181817,194.50000000000028,12.849999999999978,12.849999999999978,10.149999999999984,62.00000000000006,58.49999999999976,0,0,1,0
9,41.14620779341156,88.702976,152.4527959400497,115.429376,17.21272275666289,68.767744,6.724033333334016,268.087296,23.96013006917652,241.770496,20.384571819618884,256.753664,3.875675675675676,44.08914728682171,2.815384615384615,2.65625,3.0217391304347827,8.297872340425531,8.15,37.21153846153846,89.72826086956522,4.809230769230769,4.73125,4.743478260869566,20.799999999999997,21.02500000000001,48.72115384615383,194.50000000000028,12.849999999999996,12.55000000000003,10.149999999999984,62.00000000000006,58.49999999999976,0,0,0,0
