,timestamp,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,loadgenerator_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90
0,2023-08-23 08:20:45,40.416666666666686,17.500000000000007,25.0,175.0,13.50000000000001,15.614285714285698,4.6,333.3333333333336,4.6,17.875000000000004,7.944444444444449,5.72222222222222,39.687499999999986,4.6,12.000000000000021
1,2023-08-23 08:20:50,40.416666666666686,17.500000000000007,25.0,175.0,9.5,16.66176470588237,4.6,333.3333333333336,4.6,13.00000000000002,8.6279069767442,6.750000000000001,39.687499999999986,6.999999999999998,9.000000000000007
2,2023-08-23 08:20:55,40.416666666666686,22.0,33.50000000000001,205.0,9.5,16.66176470588237,15.999999999999995,380.4347826086956,20.5,13.00000000000002,8.6279069767442,6.750000000000001,39.687499999999986,6.999999999999998,9.000000000000007
3,2023-08-23 08:21:00,24.826923076923073,22.0,33.50000000000001,205.0,9.5,16.66176470588237,15.999999999999995,380.4347826086956,20.5,13.00000000000002,8.6279069767442,6.750000000000001,47.500000000000014,6.999999999999998,9.000000000000007
4,2023-08-23 08:21:05,24.826923076923073,22.0,33.50000000000001,205.0,9.5,14.414285714285722,15.999999999999995,380.4347826086956,20.5,14.500000000000009,9.597014925373141,9.100000000000003,47.500000000000014,7.0,8.375000000000004
5,2023-08-23 08:21:10,24.826923076923073,23.2,35.0,205.0,9.5,14.414285714285722,20.5,385.22727272727263,22.75,14.500000000000009,9.597014925373141,9.100000000000003,47.500000000000014,7.0,8.375000000000004
6,2023-08-23 08:21:15,23.557692307692303,23.2,35.0,205.0,9.5,14.414285714285722,20.5,385.22727272727263,22.75,14.500000000000004,8.42763157894737,8.099999999999998,45.0,7.0,8.375000000000004
7,2023-08-23 08:21:20,23.557692307692303,23.2,35.0,205.0,17.5,14.016129032258053,20.5,385.22727272727263,22.75,20.500000000000004,8.491228070175435,8.791666666666666,45.0,9.0,8.66666666666667
8,2023-08-23 08:21:25,23.557692307692303,22.75,30.75000000000006,235.0,17.5,14.016129032258053,22.0,378.4090909090908,22.75,20.500000000000004,8.491228070175435,8.791666666666666,45.0,9.0,8.66666666666667
9,2023-08-23 08:21:30,21.423076923076923,22.75,30.75000000000006,235.0,17.5,14.016129032258053,22.0,378.4090909090908,22.75,18.250000000000014,7.38888888888889,7.857142857142861,43.749999999999986,9.0,8.66666666666667
10,2023-08-23 08:21:35,21.423076923076923,22.75,30.75000000000006,235.0,7.999999999999998,9.438461538461539,22.0,378.4090909090908,22.75,18.25,7.4166666666666625,7.863636363636363,43.749999999999986,4.6,12.999999999999986
11,2023-08-23 08:21:40,21.423076923076923,22.0,22.812499999999993,220.00000000000003,7.999999999999998,9.438461538461539,4.6,240.35714285714292,4.6,18.25,7.4166666666666625,7.863636363636363,43.749999999999986,4.6,12.999999999999986
12,2023-08-23 08:21:45,19.37499999999999,22.0,22.812499999999993,220.00000000000003,7.999999999999998,9.438461538461539,4.6,240.35714285714292,4.6,18.249999999999996,6.562499999999993,7.318181818181817,27.812500000000043,4.6,12.999999999999986
13,2023-08-23 08:21:50,19.37499999999999,22.0,22.812499999999993,220.00000000000003,7.0000000000000036,8.735849056603774,4.6,240.35714285714292,4.6,16.000000000000004,4.787179487179488,4.728205128205128,27.812500000000043,4.6,4.8
14,2023-08-23 08:21:55,19.37499999999999,19.0,20.89130434782608,205.0,7.000000000000002,8.735849056603778,4.6,234.25,4.6,16.000000000000004,4.787179487179488,4.728205128205128,27.812500000000043,4.6,4.8
15,2023-08-23 08:22:00,18.5,19.0,20.89130434782608,205.0,7.000000000000002,8.735849056603778,4.6,234.25,4.6,4.920000000000001,4.763494539781591,4.724528301886792,23.581081081081088,4.6,4.8
16,2023-08-23 08:22:05,18.5,19.0,20.89130434782608,205.0,5.999999999999999,8.473684210526315,4.6,234.25,4.6,4.92,4.761844863731657,4.77948717948718,23.581081081081088,4.6,4.78
17,2023-08-23 08:22:10,18.5,19.0,18.531250000000007,190.0,5.999999999999999,8.473684210526315,4.6,222.9032258064516,4.6,4.92,4.761844863731657,4.77948717948718,23.581081081081088,4.6,4.78
18,2023-08-23 08:22:15,17.33333333333332,19.0,18.531250000000007,190.0,5.999999999999999,8.473684210526315,4.6,222.9032258064516,4.6,4.542857142857143,4.754323725055432,4.783333333333333,23.227272727272723,4.6,4.78
19,2023-08-23 08:22:20,17.33333333333332,19.0,18.531250000000007,190.0,4.6,8.608695652173918,4.6,222.9032258064516,4.6,4.542857142857143,4.754323725055432,4.783333333333333,23.227272727272723,4.6,4.6
20,2023-08-23 08:22:25,17.33333333333332,8.500000000000002,19.78260869565219,95.0,4.6,8.608695652173918,4.6,220.50000000000003,4.6,4.542857142857143,4.754323725055432,4.783333333333333,23.227272727272723,4.6,4.6
21,2023-08-23 08:22:30,16.166666666666657,8.500000000000002,19.78260869565219,95.0,4.6,8.608695652173918,4.6,220.50000000000003,4.6,4.542857142857143,4.869124423963134,4.952238805970149,24.129032258064523,4.6,4.6
22,2023-08-23 08:22:35,16.166666666666657,8.500000000000002,19.78260869565219,95.0,4.6,8.154761904761907,4.6,220.50000000000003,4.6,4.542857142857143,4.869124423963134,4.952238805970149,24.129032258064523,4.6,4.78
