,timestamp,ratings
1,2023-06-27 04:03:18,1
4,2023-06-27 04:03:17,1
5,2023-06-27 04:03:17,1
7,2023-06-27 04:03:17,1
8,2023-06-27 04:03:17,1
9,2023-06-27 04:03:17,1
13,2023-06-27 04:03:16,1
14,2023-06-27 04:03:16,1
15,2023-06-27 04:03:16,1
16,2023-06-27 04:03:16,1
17,2023-06-27 04:03:16,1
20,2023-06-27 04:03:15,1
21,2023-06-27 04:03:15,1
23,2023-06-27 04:03:15,1
25,2023-06-27 04:03:15,1
28,2023-06-27 04:03:14,1
30,2023-06-27 04:03:14,1
31,2023-06-27 04:03:14,1
33,2023-06-27 04:03:14,1
34,2023-06-27 04:03:13,1
36,2023-06-27 04:03:13,1
37,2023-06-27 04:03:13,1
39,2023-06-27 04:03:13,1
41,2023-06-27 04:02:16,1
44,2023-06-27 04:02:16,1
45,2023-06-27 04:02:16,1
50,2023-06-27 04:02:16,1
51,2023-06-27 04:02:16,1
54,2023-06-27 04:02:15,1
58,2023-06-27 04:02:11,1
59,2023-06-27 04:02:11,1
60,2023-06-27 04:02:11,1
66,2023-06-27 04:02:09,1
68,2023-06-27 04:02:08,1
70,2023-06-27 04:02:08,1
75,2023-06-27 04:02:07,1
79,2023-06-27 04:02:07,1
81,2023-06-27 04:02:06,1
84,2023-06-27 04:02:06,1
86,2023-06-27 04:02:06,1
87,2023-06-27 04:02:06,1
88,2023-06-27 04:02:06,1
89,2023-06-27 04:02:06,1
92,2023-06-27 04:02:05,1
93,2023-06-27 04:02:05,1
94,2023-06-27 04:02:05,1
95,2023-06-27 04:02:04,1
97,2023-06-27 04:02:04,1
98,2023-06-27 04:02:04,1
101,2023-06-27 04:02:04,1
102,2023-06-27 04:01:12,1
105,2023-06-27 04:01:11,1
106,2023-06-27 04:01:11,1
108,2023-06-27 04:01:11,1
112,2023-06-27 04:01:10,1
115,2023-06-27 04:01:10,1
116,2023-06-27 04:01:10,1
120,2023-06-27 04:01:05,1
121,2023-06-27 04:01:05,1
124,2023-06-27 04:01:05,1
125,2023-06-27 04:01:05,1
130,2023-06-27 04:01:04,1
132,2023-06-27 04:01:04,1
172,2023-06-27 03:59:04,1
173,2023-06-27 03:59:04,1
174,2023-06-27 03:59:04,1
175,2023-06-27 03:59:04,1
176,2023-06-27 03:59:04,1
180,2023-06-27 03:59:03,1
184,2023-06-27 03:59:03,1
185,2023-06-27 03:59:03,1
187,2023-06-27 03:59:03,1
189,2023-06-27 03:59:03,1
191,2023-06-27 03:59:03,1
192,2023-06-27 03:59:03,1
193,2023-06-27 03:59:03,1
228,2023-06-27 03:57:56,1
229,2023-06-27 03:57:56,1
230,2023-06-27 03:57:56,1
231,2023-06-27 03:57:56,1
237,2023-06-27 03:57:05,1
238,2023-06-27 03:57:05,1
241,2023-06-27 03:57:04,1
242,2023-06-27 03:57:02,1
245,2023-06-27 03:57:01,1
246,2023-06-27 03:57:01,1
247,2023-06-27 03:57:01,1
250,2023-06-27 03:57:00,1
253,2023-06-27 03:57:00,1
255,2023-06-27 03:57:00,1
257,2023-06-27 03:56:59,1
260,2023-06-27 03:56:59,1
261,2023-06-27 03:56:59,1
262,2023-06-27 03:56:59,1
265,2023-06-27 03:56:58,1
266,2023-06-27 03:56:58,1
268,2023-06-27 03:56:56,1
271,2023-06-27 03:56:04,1
272,2023-06-27 03:56:04,1
273,2023-06-27 03:56:03,1
277,2023-06-27 03:55:58,1
279,2023-06-27 03:55:57,1
280,2023-06-27 03:55:57,1
281,2023-06-27 03:55:57,1
282,2023-06-27 03:55:56,1
285,2023-06-27 03:55:55,1
287,2023-06-27 03:55:55,1
288,2023-06-27 03:55:55,1
289,2023-06-27 03:55:55,1
290,2023-06-27 03:55:55,1
292,2023-06-27 03:55:51,1
293,2023-06-27 03:55:51,1
294,2023-06-27 03:55:51,1
296,2023-06-27 03:55:51,1
