,timestamp,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,loadgenerator_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90,frontend_adservice&p99,checkoutservice_cartservice&p99,frontend_cartservice&p99,frontend_checkoutservice&p99,checkoutservice_currencyservice&p99,frontend_currencyservice&p99,checkoutservice_emailservice&p99,loadgenerator_frontend&p99,checkoutservice_paymentservice&p99,checkoutservice_productcatalogservice&p99,frontend_productcatalogservice&p99,recommendationservice_productcatalogservice&p99,frontend_recommendationservice&p99,checkoutservice_shippingservice&p99,frontend_shippingservice&p99
0,2023-08-23 05:29:45,13.50000000000001,4.6,19.66666666666667,95.0,4.6,4.876923076923077,4.6,200.71428571428575,4.6,0.45,4.860992907801418,5.8333333333333295,29.16666666666672,4.6,4.6,23.849999999999994,4.96,39.5,99.5,4.960000000000001,19.40000000000002,4.959999999999999,446.25,4.959999999999999,0.49499999999999994,14.049999999999967,19.749999999999957,82.50000000000011,4.959999999999999,4.96
1,2023-08-23 05:29:50,13.50000000000001,4.6,19.66666666666667,,4.6,4.876923076923077,4.6,200.71428571428575,4.6,0.45,4.860992907801418,5.8333333333333295,29.16666666666672,4.6,4.6,23.849999999999994,4.96,39.5,,4.960000000000001,19.40000000000002,4.959999999999999,446.25,4.959999999999999,0.49499999999999994,14.049999999999967,19.749999999999957,82.50000000000011,4.959999999999999,4.96
2,2023-08-23 05:29:55,13.50000000000001,4.6,19.66666666666667,,4.6,4.876923076923077,,200.71428571428575,,,4.596396396396397,4.705263157894736,23.499999999999993,,4.955555555555556,23.849999999999994,4.96,39.5,,4.960000000000001,19.40000000000002,,446.25,,,8.100000000000009,8.8,46.999999999999986,,9.450000000000003
3,2023-08-23 05:30:00,15.5,,10.999999999999995,,,4.7125,,177.5,,,4.596396396396397,4.705263157894736,23.499999999999993,,4.955555555555556,24.050000000000004,,23.599999999999998,,,8.34999999999999,,242.74999999999997,,,8.100000000000009,8.8,46.999999999999986,,9.450000000000003
4,2023-08-23 05:30:05,15.5,,10.999999999999995,900.0,,4.7125,,177.5,,,4.596396396396397,4.705263157894736,23.499999999999993,,4.955555555555556,24.050000000000004,,23.599999999999998,990.0,,8.34999999999999,,242.74999999999997,,,8.100000000000009,8.8,46.999999999999986,,9.450000000000003
5,2023-08-23 05:30:10,15.5,,10.999999999999995,900.0,,4.7125,45.0,177.5,22.0,159.99999999999997,33.49999999999999,20.75,115.00000000000003,19.000000000000007,22.5,24.050000000000004,,23.599999999999998,990.0,,8.34999999999999,49.5,242.74999999999997,24.700000000000003,240.99999999999997,120.99999999999956,86.49999999999993,236.49999999999997,24.4,24.75
6,2023-08-23 05:30:15,21.25,80.0,72.5,900.0,43.333333333333336,40.78947368421052,45.0,973.3333333333335,22.0,159.99999999999997,33.49999999999999,20.75,115.00000000000003,19.000000000000007,22.5,24.625,97.99999999999997,97.25,990.0,49.333333333333336,98.33333333333346,49.5,2309.999999999999,24.700000000000003,240.99999999999997,120.99999999999956,86.49999999999993,236.49999999999997,24.4,24.75
7,2023-08-23 05:30:20,21.25,80.0,72.5,,43.333333333333336,40.78947368421052,45.0,973.3333333333335,22.0,159.99999999999997,33.49999999999999,20.75,115.00000000000003,19.000000000000007,22.5,24.625,97.99999999999997,97.25,,49.333333333333336,98.33333333333346,49.5,2309.999999999999,24.700000000000003,240.99999999999997,120.99999999999956,86.49999999999993,236.49999999999997,24.4,24.75
8,2023-08-23 05:30:25,21.25,80.0,72.5,,43.333333333333336,40.78947368421052,,973.3333333333335,,,9.653846153846157,8.999999999999996,45.0,,10.0,24.625,97.99999999999997,97.25,,49.333333333333336,98.33333333333346,,2309.999999999999,,,38.24999999999994,42.99999999999996,93.0,,23.500000000000007
9,2023-08-23 05:30:30,7.2500000000000115,4.6,19.75,,,7.10000000000001,,358.33333333333337,,,9.653846153846157,8.999999999999996,45.0,,10.0,42.250000000000014,4.96,38.750000000000085,,,31.500000000000178,,780.0000000000002,,,38.24999999999994,42.99999999999996,93.0,,23.500000000000007
10,2023-08-23 05:30:35,7.2500000000000115,4.6,19.75,95.0,,7.10000000000001,,358.33333333333337,,,9.653846153846157,8.999999999999996,45.0,,10.0,42.250000000000014,4.96,38.750000000000085,99.5,,31.500000000000178,,780.0000000000002,,,38.24999999999994,42.99999999999996,93.0,,23.500000000000007
11,2023-08-23 05:30:40,7.2500000000000115,4.6,19.75,95.0,,7.10000000000001,4.6,358.33333333333337,4.6,4.199999999999999,4.492105263157894,4.885714285714285,22.923076923076927,8.0,4.960000000000001,42.250000000000014,4.96,38.750000000000085,99.5,,31.500000000000178,4.959999999999999,780.0000000000002,4.96,4.92,8.47000000000003,9.366666666666669,45.25,9.8,47.249999999999986
12,2023-08-23 05:30:45,7.375,4.6,9.807692307692308,95.0,6.000000000000005,4.9302752293577985,4.6,127.00000000000026,4.6,4.199999999999999,4.492105263157894,4.885714285714285,22.923076923076927,8.0,4.960000000000001,9.737499999999999,4.960000000000001,23.312499999999986,99.5,9.600000000000003,16.075000000000003,4.959999999999999,372.5000000000003,4.96,4.92,8.47000000000003,9.366666666666669,45.25,9.8,47.249999999999986
