,timestamp,shippingservice
9,2023-08-23 05:27:04,1
10,2023-08-23 05:27:04,1
11,2023-08-23 05:27:04,1
12,2023-08-23 05:27:03,1
13,2023-08-23 05:27:03,1
14,2023-08-23 05:27:03,1
15,2023-08-23 05:27:03,1
39,2023-08-23 05:26:02,1
40,2023-08-23 05:26:02,1
106,2023-08-23 05:22:49,1
107,2023-08-23 05:22:49,1
110,2023-08-23 05:22:03,1
111,2023-08-23 05:22:03,1
112,2023-08-23 05:22:03,1
113,2023-08-23 05:22:03,1
114,2023-08-23 05:22:03,1
115,2023-08-23 05:22:03,1
149,2023-08-23 05:21:02,1
150,2023-08-23 05:21:02,1
151,2023-08-23 05:21:02,1
193,2023-08-23 05:18:53,1
194,2023-08-23 05:18:53,1
195,2023-08-23 05:18:53,1
196,2023-08-23 05:18:53,1
197,2023-08-23 05:18:53,1
198,2023-08-23 05:18:53,1
199,2023-08-23 05:18:53,1
200,2023-08-23 05:18:53,1
201,2023-08-23 05:18:52,1
