,timestamp,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,loadgenerator_frontend&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90,frontend_adservice&p99,checkoutservice_cartservice&p99,frontend_cartservice&p99,frontend_checkoutservice&p99,checkoutservice_currencyservice&p99,frontend_currencyservice&p99,checkoutservice_emailservice&p99,loadgenerator_frontend&p99,checkoutservice_paymentservice&p99,checkoutservice_productcatalogservice&p99,frontend_productcatalogservice&p99,recommendationservice_productcatalogservice&p99,frontend_recommendationservice&p99,checkoutservice_shippingservice&p99,frontend_shippingservice&p99
0,2023-08-23 04:38:24,20.125,8.0,21.85,235.0,8.5,16.525000000000002,9.0,413.6363636363636,4.6,4.200000000000001,4.992857142857143,6.875,25.000000000000043,4.6,17.500000000000007,215.50000000000009,9.8,42.25,248.5,9.85,24.152500000000003,9.9,491.36363636363643,4.96,4.92,20.950000000000017,9.6875,47.5,4.96,24.25
1,2023-08-23 04:38:29,9.25,8.0,21.85,235.0,,8.61538461538462,,275.00000000000006,,,6.91176470588235,4.555555555555555,25.000000000000043,4.6,17.500000000000007,22.15000000000002,9.8,42.25,248.5,,22.42000000000001,,477.50000000000006,,,18.249999999999936,4.955555555555556,47.5,4.96,24.25
2,2023-08-23 04:38:34,9.25,,23.500000000000007,235.0,,8.61538461538462,,275.00000000000006,,,6.91176470588235,4.555555555555555,25.000000000000043,4.6,17.500000000000007,22.15000000000002,,47.249999999999986,248.5,,22.42000000000001,,477.50000000000006,,,18.249999999999936,4.955555555555556,47.5,4.96,24.25
3,2023-08-23 04:38:39,9.25,,23.500000000000007,,,8.61538461538462,,275.00000000000006,,,6.91176470588235,4.555555555555555,16.00000000000001,,4.6,22.15000000000002,,47.249999999999986,,,22.42000000000001,,477.50000000000006,,,18.249999999999936,4.955555555555556,24.1,,4.959999999999999
4,2023-08-23 04:38:44,5.0,,23.500000000000007,,,4.754838709677419,,95.21739130434783,,,4.4297872340425535,4.542857142857143,16.00000000000001,,4.6,9.5,,47.249999999999986,,,8.787500000000001,,201.99999999999955,,,6.149999999999954,4.954285714285714,24.1,,4.959999999999999
5,2023-08-23 04:38:49,5.0,,10.0,,,4.754838709677419,,95.21739130434783,,,4.4297872340425535,4.542857142857143,16.00000000000001,,4.6,9.5,,23.5,,,8.787500000000001,,201.99999999999955,,,6.149999999999954,4.954285714285714,24.1,,4.959999999999999
6,2023-08-23 04:38:54,5.0,,10.0,,,4.754838709677419,,95.21739130434783,,,4.4297872340425535,4.542857142857143,14.500000000000004,,4.55,9.5,,23.5,,,8.787500000000001,,201.99999999999955,,,6.149999999999954,4.954285714285714,23.950000000000003,,4.955
7,2023-08-23 04:38:59,4.7894736842105265,,10.0,,,4.878709677419355,,160.0000000000001,,,4.542105263157895,4.712,14.500000000000004,,4.55,9.000000000000007,,23.5,,,9.695454545454542,,241.00000000000003,,,6.599999999999989,8.600000000000005,23.950000000000003,,4.955
8,2023-08-23 04:39:04,4.7894736842105265,,9.636363636363635,,,4.878709677419355,,160.0000000000001,,,4.542105263157895,4.712,14.500000000000004,,4.55,9.000000000000007,,23.10000000000001,,,9.695454545454542,,241.00000000000003,,,6.599999999999989,8.600000000000005,23.950000000000003,,4.955
9,2023-08-23 04:39:09,4.7894736842105265,,9.636363636363635,95.0,,4.878709677419355,,160.0000000000001,,,4.542105263157895,4.712,14.50000000000001,4.6,6.750000000000002,9.000000000000007,,23.10000000000001,99.5,,9.695454545454542,,241.00000000000003,,,6.599999999999989,8.600000000000005,42.25000000000004,4.960000000000001,9.674999999999999
10,2023-08-23 04:39:14,9.0,,9.636363636363635,95.0,4.6,4.755395683453237,4.6,167.5,4.6,4.5,4.4787878787878785,4.837037037037038,14.50000000000001,4.6,6.750000000000002,23.2,,23.10000000000001,99.5,4.96,8.79166666666665,4.960000000000001,241.75000000000006,4.96,4.949999999999999,7.349999999999983,9.225000000000003,42.25000000000004,4.960000000000001,9.674999999999999
11,2023-08-23 04:39:19,9.0,8.0,19.30000000000001,95.0,4.6,4.755395683453237,4.6,167.5,4.6,4.5,4.4787878787878785,4.837037037037038,14.50000000000001,4.6,6.750000000000002,23.2,9.799999999999997,45.124999999999986,99.5,4.96,8.79166666666665,4.960000000000001,241.75000000000006,4.96,4.949999999999999,7.349999999999983,9.225000000000003,42.25000000000004,4.960000000000001,9.674999999999999
12,2023-08-23 04:39:24,9.0,8.0,19.30000000000001,220.0,4.6,4.755395683453237,4.6,167.5,4.6,4.5,4.4787878787878785,4.837037037037038,19.9375,8.0,4.95,23.2,9.799999999999997,45.124999999999986,247.00000000000003,4.96,8.79166666666665,4.960000000000001,241.75000000000006,4.96,4.949999999999999,7.349999999999983,9.225000000000003,40.74999999999994,9.8,9.45
13,2023-08-23 04:39:29,6.875000000000003,8.0,19.30000000000001,220.0,4.6,4.855118110236221,4.6,173.33333333333334,9.0,4.6,4.5337278106508885,4.888000000000001,19.9375,8.0,4.95,9.687499999999998,9.799999999999997,45.124999999999986,247.00000000000003,4.96,9.775000000000015,4.96,242.33333333333331,9.9,4.96,8.16250000000001,19.449999999999967,40.74999999999994,9.8,9.45
