,timestamp,frontend
0,2023-08-23 05:39:49,1
1,2023-08-23 05:39:49,1
2,2023-08-23 05:39:49,1
3,2023-08-23 05:39:47,1
4,2023-08-23 05:39:47,1
55,2023-08-23 05:37:41,1
56,2023-08-23 05:37:41,1
57,2023-08-23 05:37:40,1
58,2023-08-23 05:37:40,1
59,2023-08-23 05:37:40,1
60,2023-08-23 05:37:40,1
69,2023-08-23 05:36:44,1
70,2023-08-23 05:36:44,1
71,2023-08-23 05:36:44,1
72,2023-08-23 05:36:42,1
73,2023-08-23 05:36:42,1
74,2023-08-23 05:36:42,1
75,2023-08-23 05:36:42,1
98,2023-08-23 05:35:41,1
114,2023-08-23 05:34:27,1
115,2023-08-23 05:34:27,1
116,2023-08-23 05:34:27,1
117,2023-08-23 05:34:26,1
118,2023-08-23 05:34:26,1
119,2023-08-23 05:34:26,1
120,2023-08-23 05:34:26,1
121,2023-08-23 05:34:26,1
122,2023-08-23 05:34:26,1
123,2023-08-23 05:34:26,1
124,2023-08-23 05:34:26,1
151,2023-08-23 05:32:26,1
152,2023-08-23 05:32:26,1
153,2023-08-23 05:32:26,1
154,2023-08-23 05:32:26,1
155,2023-08-23 05:32:26,1
156,2023-08-23 05:32:25,1
157,2023-08-23 05:32:25,1
158,2023-08-23 05:32:25,1
159,2023-08-23 05:32:25,1
160,2023-08-23 05:32:25,1
210,2023-08-23 05:27:13,1
211,2023-08-23 05:27:13,1
212,2023-08-23 05:27:13,1
213,2023-08-23 05:27:08,1
214,2023-08-23 05:27:08,1
215,2023-08-23 05:27:08,1
239,2023-08-23 05:26:08,1
240,2023-08-23 05:26:08,1
241,2023-08-23 05:26:08,1
242,2023-08-23 05:26:08,1
254,2023-08-23 05:25:06,1
255,2023-08-23 05:25:06,1
256,2023-08-23 05:25:06,1
257,2023-08-23 05:25:06,1
258,2023-08-23 05:25:06,1
259,2023-08-23 05:25:06,1
260,2023-08-23 05:25:06,1
261,2023-08-23 05:25:06,1
262,2023-08-23 05:25:06,1
263,2023-08-23 05:25:06,1
264,2023-08-23 05:25:05,1
