,timestamp,frontend
12,2023-08-23 06:58:52,1
13,2023-08-23 06:58:52,1
14,2023-08-23 06:58:52,1
15,2023-08-23 06:58:52,1
20,2023-08-23 06:57:46,1
21,2023-08-23 06:57:46,1
22,2023-08-23 06:57:46,1
23,2023-08-23 06:57:46,1
24,2023-08-23 06:57:46,1
78,2023-08-23 06:55:39,1
79,2023-08-23 06:55:39,1
87,2023-08-23 06:54:38,1
88,2023-08-23 06:54:37,1
89,2023-08-23 06:54:37,1
97,2023-08-23 06:53:32,1
98,2023-08-23 06:53:32,1
150,2023-08-23 06:50:23,1
151,2023-08-23 06:50:23,1
152,2023-08-23 06:50:22,1
153,2023-08-23 06:50:22,1
154,2023-08-23 06:50:22,1
155,2023-08-23 06:50:22,1
156,2023-08-23 06:50:22,1
196,2023-08-23 06:46:22,1
