,timestamp,currencyservice
6,2023-08-23 06:59:48,1
7,2023-08-23 06:59:48,1
8,2023-08-23 06:59:47,1
25,2023-08-23 06:57:06,1
58,2023-08-23 06:55:55,1
59,2023-08-23 06:55:55,1
60,2023-08-23 06:55:55,1
61,2023-08-23 06:55:55,1
62,2023-08-23 06:55:55,1
109,2023-08-23 06:52:28,1
175,2023-08-23 06:47:34,1
176,2023-08-23 06:47:34,1
177,2023-08-23 06:47:34,1
178,2023-08-23 06:47:34,1
179,2023-08-23 06:47:34,1
182,2023-08-23 06:47:33,1
183,2023-08-23 06:47:33,1
184,2023-08-23 06:47:33,1
185,2023-08-23 06:47:33,1
186,2023-08-23 06:47:33,1
198,2023-08-23 06:45:39,1
