"@timestamp","process.executable","process.args",message,"kubernetes.namespace","kubernetes.labels.version","kubernetes.labels.app","event.type","event.dataset","event.category","event.action","process.name"
"2023-06-30 08:34:08","/sbin/ipset","ipset, save, -o, xml","ERROR for PID 414: failed to get namespaces for /sbin/ipset PID 414: stat /proc/414/ns/mnt: no such file or directory",default,v1,productpage,info,process,process,"process_error",ipset
"2023-06-30 08:34:08","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15334/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 330) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:34:07","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15334/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 330) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:34:07","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3249/ns/net, --, iptables-save, -c","Process nsexec (PID: 300) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:34:07","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3249/ns/net, --, iptables-save, -c","Process nsexec (PID: 301) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:34:06","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3249/ns/net, --, iptables-save, -c","Process nsexec (PID: 300) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:34:06","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3249/ns/net, --, iptables-save, -c","Process nsexec (PID: 301) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:34:06","/sbin/ipset","ipset, save, -o, xml","ERROR for PID 302: failed to get namespaces for /sbin/ipset PID 302: stat /proc/302/ns/mnt: no such file or directory",default,v1,details,info,process,process,"process_error",ipset
"2023-06-30 08:34:06","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3257/ns/net, --, iptables-save, -c","Process nsexec (PID: 99939) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:33:31","/usr/bin/socat","/usr/bin/socat, -, TCP4:localhost:9090","Process socat (PID: 83809) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",socat
"2023-06-30 08:32:38","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3249/ns/net, --, iptables-save, -c","Process nsexec (PID: 84129) by user root STARTED",default,v3,reviews,start,process,process,"process_started",nsexec
"2023-06-30 08:32:38","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15471/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 84087) by user root STOPPED",default,v3,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:37","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/15471/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 84087) by user root STARTED",default,v3,reviews,start,process,process,"process_started",nsexec
"2023-06-30 08:32:36","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/35407/ns/net, --, tc, qdisc","Process nsexec (PID: 84001) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:36","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11228/ns/net, --, iptables-save, -c","Process nsexec (PID: 84003) by user root STOPPED",default,v1,productpage,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/35407/ns/net, --, tc, qdisc","Process nsexec (PID: 84001) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:32:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11228/ns/net, --, iptables-save, -c","Process nsexec (PID: 84003) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:32:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3341/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 83963) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:35","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11280/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 83965) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:34","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11280/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 83965) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:32:34","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/3341/ns/net, --, ipset, save, -o, xml","Process nsexec (PID: 83963) by user root STARTED",default,v1,details,start,process,process,"process_started",nsexec
"2023-06-30 08:32:34","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/4644/ns/net, --, tc, qdisc","Process nsexec (PID: 83924) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:34","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/11407/ns/net, --, tc, qdisc","Process nsexec (PID: 83927) by user root STOPPED",default,v1,details,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:24","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/8921/ns/net, --, ipset, save, -o, xml","ERROR for PID 82005: failed to get namespaces for /usr/local/bin/nsexec PID 82005: stat /proc/82005/ns/mnt: no such file or directory",default,v2,reviews,info,process,process,"process_error",nsexec
"2023-06-30 08:32:24","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/8930/ns/net, --, tc, qdisc","Process nsexec (PID: 81970) by user root STOPPED",default,v2,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:32:24","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/8930/ns/net, --, tc, qdisc","Process nsexec (PID: 81958) by user root STOPPED",default,v2,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:31:57","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/10298/ns/net, --, tc, qdisc","Process nsexec (PID: 77933) by user root STOPPED",default,v3,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:31:56","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/10298/ns/net, --, tc, qdisc","Process nsexec (PID: 77933) by user root STARTED",default,v1,productpage,start,process,process,"process_started",nsexec
"2023-06-30 08:30:33","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/5898/ns/net, --, iptables-save, -c","Process nsexec (PID: 63973) by user root STARTED",default,v2,reviews,start,process,process,"process_started",nsexec
"2023-06-30 08:30:33","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/5960/ns/net, --, iptables-save, -c","Process nsexec (PID: 63928) by user root STOPPED",default,v2,reviews,end,process,process,"process_stopped",nsexec
"2023-06-30 08:30:27","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/9607/ns/net, --, ipset, save, -o, xml","ERROR for PID 62771: failed to get namespaces for /usr/local/bin/nsexec PID 62771: stat /proc/62771/ns/mnt: no such file or directory",default,v1,ratings,info,process,process,"process_error",nsexec
"2023-06-30 08:30:27","/sbin/ipset","ipset, save, -o, xml","ERROR for PID 62836: failed to get namespaces for /sbin/ipset PID 62836: stat /proc/62836/ns/mnt: no such file or directory",default,v1,ratings,info,process,process,"process_error",ipset
"2023-06-30 08:30:25","/usr/local/bin/nsexec","/usr/local/bin/nsexec, -n, /proc/9525/ns/net, --, tc, qdisc","Process nsexec (PID: 62587) by user root STOPPED",default,v3,reviews,end,process,process,"process_stopped",nsexec
