,istio-ingressgateway_productpage-v1&p50,istio-ingressgateway_productpage-v1&p90,productpage-v1_reviews-v2&p90,productpage-v1_reviews-v3&p90,istio-ingressgateway_productpage-v1&p99,productpage-v1_reviews-v2&p99,productpage-v1_reviews-v3&p99
0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0
2,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0
4,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0
7,1,0,0,0,0,0,0
8,1,0,0,0,0,0,0
9,0,1,0,0,1,0,0
10,0,1,0,0,1,0,0
11,0,1,1,1,1,0,1
12,0,1,1,1,2,0,1
13,0,1,1,1,2,0,1
14,0,1,1,1,2,1,1
15,0,1,1,1,2,1,1
16,0,1,1,1,2,1,1
17,0,1,0,1,2,0,0
18,0,0,0,1,0,0,0
19,0,0,0,1,0,0,0
20,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0
22,1,0,0,0,0,0,0
23,1,0,0,0,0,0,0
24,0,0,0,0,1,0,0
25,0,0,0,0,1,0,0
26,0,0,0,0,1,0,0
27,0,1,0,0,1,0,0
28,0,1,0,0,1,0,0
29,0,1,1,1,1,1,0
30,0,1,1,1,2,1,0
31,0,1,1,1,2,1,0
32,0,1,1,1,2,1,1
33,0,1,1,1,2,1,1
34,0,1,1,1,2,1,1
35,0,1,1,1,2,0,1
36,1,0,1,1,0,0,1
37,1,0,1,1,0,0,1
38,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0
40,1,0,0,0,0,0,0
41,1,0,0,0,0,0,0
42,1,0,0,0,0,0,0
43,1,0,0,0,0,0,0
44,1,0,0,0,0,0,0
45,1,0,0,0,0,0,0
46,1,0,0,0,0,0,0
47,1,0,1,0,0,0,0
48,0,1,1,0,2,0,0
49,0,1,1,0,2,0,0
50,0,1,1,1,2,1,1
51,0,1,1,1,2,1,1
52,0,1,1,1,2,1,1
53,0,1,1,1,2,0,1
54,0,1,1,1,1,0,1
55,0,1,1,1,1,0,1
56,0,1,0,0,1,0,0
57,1,0,0,0,0,0,0
58,1,0,0,0,0,0,0
59,1,0,0,0,0,0,0
60,1,0,0,0,1,0,0
61,1,0,0,0,1,0,0
62,1,0,0,0,1,0,0
63,1,0,0,0,0,0,0
64,1,0,0,0,0,0,0
65,1,0,1,0,0,0,0
66,0,1,1,0,2,0,0
67,0,1,1,0,2,0,0
68,0,1,1,1,2,1,1
69,0,1,1,1,2,1,1
70,0,1,1,1,2,1,1
71,0,1,1,1,2,1,1
72,0,1,1,1,1,1,1
73,0,1,1,1,1,1,1
74,0,1,0,0,1,0,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,1,0,0,1,0,0
85,0,1,0,0,1,0,0
86,0,1,1,1,1,1,0
87,0,1,1,1,2,1,0
88,0,1,1,1,2,1,0
89,0,1,1,1,2,1,1
90,0,1,1,1,2,1,1
91,0,1,1,1,2,1,1
92,0,1,0,1,2,0,1
93,0,0,0,1,0,0,1
94,0,0,0,1,0,0,1
95,0,0,0,0,0,0,0
96,1,0,0,0,0,0,0
97,1,0,0,0,0,0,0
98,1,0,0,0,0,0,0
99,1,0,0,0,0,0,0
100,1,0,0,0,0,0,0
101,1,0,0,0,0,0,0
102,0,1,0,0,1,0,0
103,0,1,0,0,1,0,0
104,0,1,1,0,1,1,0
105,0,0,1,0,1,1,0
106,0,0,1,0,1,1,0
107,0,0,0,0,1,0,0
108,0,0,0,0,1,0,0
109,0,0,0,0,1,0,0
110,0,0,0,0,1,0,0
111,0,0,0,0,1,0,0
112,0,0,0,0,1,0,0
113,0,0,0,0,1,0,0
114,0,0,0,0,1,0,0
115,0,0,0,0,1,0,0
116,0,0,0,0,1,0,0
117,0,0,0,0,1,0,0
118,0,0,0,0,1,0,0
119,0,0,0,0,1,0,0
120,0,0,0,0,1,0,0
