istio-ingressgateway_productpage-v1&p50,istio-ingressgateway_productpage-v1&p90,productpage-v1_reviews-v2&p90,productpage-v1_reviews-v3&p90,istio-ingressgateway_productpage-v1&p99,productpage-v1_reviews-v2&p99,productpage-v1_reviews-v3&p99,productpage-v1-66756cddfd-psmzt_cpu
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,1,1,1,1,0,1,0
0,1,1,1,2,0,1,1
0,1,1,1,2,0,1,1
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,0,1,2,0,0,1
0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,1,1,1,1,1,0,0
0,1,1,1,2,1,0,0
0,1,1,1,2,1,0,1
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,1,1,2,0,1,1
1,0,1,1,0,0,1,1
1,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0
0,1,1,0,2,0,0,0
0,1,1,0,2,0,0,0
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,1,1,2,0,1,1
0,1,1,1,1,0,1,1
0,1,1,1,1,0,1,1
0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0
0,1,1,0,2,0,0,0
0,1,1,0,2,0,0,0
0,1,1,1,2,1,1,0
0,1,1,1,2,1,1,0
0,1,1,1,2,1,1,0
0,1,1,1,2,1,1,1
0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1
0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,1,1,1,1,1,0,0
0,1,1,1,2,1,0,1
0,1,1,1,2,1,0,1
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,1,1,2,1,1,1
0,1,0,1,2,0,1,1
0,0,0,1,0,0,1,1
0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,1,1,0,1,1,0,0
0,0,1,0,1,1,0,0
0,0,1,0,1,1,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
